,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,,1,2,3,4,5,6
,Malva tournefortiana L.,.,.,.,.,.,+,.,.,.,.,.,+,+,.,,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,.,+,.,.,.,.
,Prunus insititioides,.,.,.,.,.,.,.,+,.,1,.,.,.,1,,,,Cynosorum echinatus,.,+,.,.,.,.
,Osyris alba L.,+,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,Crepis capilaris,.,+,.,.,.,.
,Lavandula pedunculata Cav.,.,+,.,.,.,.,.,.,+,.,.,.,.,.,,,,Hypochaeris glabra L.,.,+,.,.,.,.
,Polypodium interjectum Shivas,.,.,.,1,.,.,.,.,2,.,.,.,.,.,,,,Mercurialis annua L.,.,+,.,.,.,.
,Cistus creticus L. [sub],.,.,.,.,+,.,.,.,.,.,1,.,.,.,,,,Galium mollugo L.,.,1,.,.,.,.
,Cistus salviifolius L.,.,.,.,.,+,.,.,.,.,.,+,.,.,.,,,,Asphodelus aestivus Brot.,.,2,.,.,.,.
,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens [sub],.,.,.,.,+,.,.,.,.,.,.,.,1,.,,,,Conopodium majus (Gouan) Loret in Loret & Barrandon,.,+,.,.,.,.
,Torilis arvensis (Huds.) Link subsp. purpurea (Ten.) Hayek [sub],.,.,.,.,.,.,1,.,.,.,.,+,.,.,,,,Viola tricolor L.,.,+,.,.,.,.
,Erica scoparia L.,.,.,.,.,.,.,.,1,.,2,.,.,.,.,,,,Geranium purpureum Vill.,.,+,.,.,.,.
,Ulex airensis Espírito Santo & al.,.,.,.,.,.,.,.,+,.,1,.,.,.,.,,,,Hypericum perforatum L.,.,.,+,.,.,.
,Digitalis purpurea L.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,Digitalis purpurea L.,.,.,.,+,.,.
,Prunus avium L.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,Poa trivialis L.,.,.,.,+,.,.
,Phagnalon saxatile (L.) Cass.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,.,.,+,.,.
,Rosa canina L.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,,,,Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al.,.,.,.,+,.,.
,Sedum hirsutum All.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,,,,Rosa canina L.,.,.,.,+,.,.
,Calamintha nepeta (L.) Savi subsp. nepeta [sub],.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,Calluna vulgaris (L.) Hull,.,.,.,.,+,.
,Dorycnopsis gerardi (L.) Boiss. [sub],.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,Scrophularia auriculata L.,.,.,.,.,+,.
,Calicotome villosa (Poir.) Link,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,Agrostis curtisii Kerguélen,.,.,.,.,+,.
,Scilla monophyllos Link,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,Doronicum plantagineum L.,.,.,.,.,+,.
,Teucrium scorodonia L.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,Cephalantera longifolia,.,.,.,.,+,.
,Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,Carduus platypus Lange,.,.,.,.,.,+
,"Echinospartum ibericum Rivas Mart., Sánchez Mata & Sancho",.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,Glandora prostata subsp. lusitanica,.,.,.,.,.,+
,Carduus platypus Lange,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,
,Cistus ladanifer L.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,
,[sub],.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,
,Leucanthemopsis pallida (Mill.) Heywood,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,
,Adenocarpus complicatus (L.) J. Gay in Durieu subsp. lainzii Castrov. [sub],.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,
,Lithodora prostrata (Loisel.) Griseb. subsp. lusitanica (Samp.) Valdés. [sub],.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,
,Foeniculum vulgare Mill.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,
,Geum urbanum L.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,
,Senecio jacobaea L. [sub],.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,
,Silene vulgaris (Moench) Garcke,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,
,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,
