,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Lotus corniculatus L. subsp. carpetanus (Lacaita) Rivas Mart.,+,.,.,.,,,,Tamus communis L.,.,.,.,.,1,r,1,.,.,+,+,.,.,.,.,.,,,,Geranium lucidum L.,.,1,.,.,.,.,1,.,.
,,,,,Luzula campestris (L.) DC.,+,.,.,.,,,,Teucrium scorodonia L.,.,.,.,.,1,.,+,.,1,+,.,.,.,.,+,.,,,,Conopodium majus (Gouan) Loret in Loret & Barrandon subsp. marizianum (Samp.) López Udias & Mateo [sub],.,.,.,.,.,+,.,.,1
,,,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,+,.,.,.,,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,+,.,+,.,.,.,+,.,.,.,.,.,.,1,,,,Halimium umbellatum (L.) Spach subsp. viscosum (Willk.) O. Bolòs & Vigo [sub],.,.,+,.,.,.,.,.,1
,,,,,Pyrus cordata Desv.,.,.,.,+,,,,Centaurea langei Nyman subsp. langei [sub],.,.,.,.,.,.,.,1,.,1,+,.,+,.,.,.,,,,Agrostis castellana Boiss. & Reut.,.,.,.,.,.,.,1,.,+
,,,,,Sanguisorba verrucosa (Link ex G. Don) Ces.,.,.,+,.,,,,Centranthus calcitrapae (L.) Dufr.,.,.,.,1,.,+,.,.,.,.,.,.,.,.,+,+,,,,Aristolochia paucinervis Pomel,+,.,.,.,.,+,.,.,.
,,,,,Thapsia villosa L.,.,.,+,.,,,,Crataegus monogyna Jacq.,.,+,.,.,+,.,.,+,.,.,1,.,.,.,.,.,,,,Digitalis purpurea L.,+,.,.,.,.,.,.,.,+
,,,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,+,.,.,.,,,,Sanguisorba verrucosa (Link ex G. Don) Ces.,.,.,.,1,+,.,.,+,.,.,1,.,.,.,.,.,,,,Crataegus monogyna Jacq.,.,.,+,.,.,.,.,+,.
,,,,,Vicia disperma DC.,.,.,.,+,,,,Vicia angustifolia L.,.,.,.,+,.,+,.,.,.,1,1,.,.,.,.,.,,,,Narcissus triandrus L. subsp. pallidulus (Graells) D.A.Webb [sub],.,.,.,.,+,.,.,.,+
,,,,,Vicia lutea L.,.,.,.,+,,,,Aristolochia paucinervis Pomel,.,.,+,.,.,.,.,.,.,.,1,.,.,.,.,+,,,,Daucus carota L. [sub],.,.,.,.,.,+,+,.,.
,,,,,,,,,,,,,Briza maxima L.,.,.,.,.,.,.,.,1,.,1,1,.,.,.,.,.,,,,Vicia angustifolia L.,.,.,.,.,.,.,+,.,+
,,,,,,,,,,,,,Bromus sterilis L.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,2,1,,,,Erica scoparia L.,1,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,Cistus populifolius L.,.,.,.,.,.,.,.,.,1,.,.,+,.,.,.,+,,,,Digitalis thapsi L.,.,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,Geranium lucidum L.,.,.,.,1,.,.,1,.,.,.,.,.,.,.,+,.,,,,Polypodium interjectum Shivas,.,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],.,.,.,1,+,.,.,.,.,.,.,.,+,.,.,.,,,,Linaria triornithophora (L.) Willd.,.,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,Origanum virens Hoffmanns. & Link,.,.,.,.,+,+,.,.,.,.,+,.,.,.,.,.,,,,Leucanthemum pseudosylvaticum,.,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,Thymus mastichina L.,.,.,.,.,.,.,.,+,.,.,+,.,+,.,.,.,,,,Arabis stenocarpa Boiss. & Reut.,.,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,Torilis arvensis (Huds.) Link subsp. purpurea (Ten.) Hayek [sub],.,.,.,+,.,.,.,.,.,.,+,.,.,.,.,+,,,,Centaurea langei Nyman subsp. langei [sub],.,.,1,.,.,.,.,.,.
,,,,,,,,,,,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,+,,,,Anarrhinum bellidifolium (L.) Willd.,.,.,+,.,.,.,.,.,.
,,,,,,,,,,,,,Jasione montana L.,.,.,.,.,.,+,.,+,.,+,.,.,.,.,.,.,,,,Carlina corymbosa L.,.,.,+,.,.,.,.,.,.
,,,,,,,,,,,,,Narcissus triandrus L.,+,.,.,.,.,+,.,.,.,.,.,1,.,.,.,.,,,,Thymus mastichina L.,.,.,+,.,.,.,.,.,.
,,,,,,,,,,,,,Asplenium trichomanes L. subsp. quadrivalens D.E. Mey. [sub],.,.,.,.,1,.,.,.,.,.,1,.,.,.,.,.,,,,Helichrysum stoechas (L.) Moench,.,.,+,.,.,.,.,.,.
,,,,,,,,,,,,,Campanula lusitanica L. in Loefl.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,,,,Cistus populifolius L.,.,.,.,1,.,.,.,.,.
,,,,,,,,,,,,,Agrostis castellana Boiss. & Reut.,.,.,.,1,.,+,.,.,.,.,.,.,.,.,.,.,,,,Asplenium billotii F.W. Schultz,.,.,.,.,+,.,.,.,.
,,,,,,,,,,,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens [sub],.,+,.,.,.,1,.,.,.,.,.,.,.,.,.,.,,,,Thesium humifusum DC. in Lam. & DC. [sub],.,.,.,.,.,+,.,.,.
,,,,,,,,,,,,,Campanula rapunculus L.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,+,.,,,,Bellis perennis L.,.,.,.,.,.,+,.,.,.
,,,,,,,,,,,,,Daucus carota L. [sub],.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,,,,Geum sylvaticum Pourr.,.,.,.,.,.,+,.,.,.
,,,,,,,,,,,,,Digitalis purpurea L.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,.,.,,,,Hypericum perforatum L.,.,.,.,.,.,+,.,.,.
,,,,,,,,,,,,,Digitalis thapsi L.,.,.,.,.,.,.,+,.,.,1,.,.,.,.,.,.,,,,Polygala vulgaris L.,.,.,.,.,.,+,.,.,.
,,,,,,,,,,,,,Euphorbia segetalis L.,.,.,.,r,.,.,.,.,.,+,.,.,.,.,.,.,,,,Vicia disperma DC.,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,Lavandula luizieri,.,1,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,Neotinia maculata,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,Neotinea maculata (Desf.) Stearn,.,.,.,r,.,.,.,.,.,.,.,.,.,.,+,.,,,,Torilis arvensis (Huds.) Link subsp. purpurea (Ten.) Hayek [sub],.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,1,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,.,.,.,.,.,.,1,.
,,,,,,,,,,,,,Senecio lividus L.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,,,,Sedum album L.,.,.,.,.,.,.,.,+,.
,,,,,,,,,,,,,Silene latifolia Poir.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,,,,Polypodium vulgare L.,.,.,.,.,.,.,.,+,.
,,,,,,,,,,,,,Asplenium billotii F.W. Schultz,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,Asplenium trichomanes L. subsp. quadrivalens D.E. Mey. [sub],.,.,.,.,.,.,.,1,.
,,,,,,,,,,,,,Asphodelus sp.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens [sub],.,.,.,.,.,.,.,.,1
,,,,,,,,,,,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange subsp. lasianthum (Spach) Talavera & Gibbs [sub],.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,Senecio sylvaticus L.,.,.,.,.,.,.,.,.,+
,,,,,,,,,,,,,Festuca paniculata (L.) Schinz & Thell. subsp. multispiculata Rivas Ponce & Cebolla [sub],.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,Orobanche gracilis Sm.,.,.,.,.,.,.,.,.,+
,,,,,,,,,,,,,Erica umbellata Loefl. ex L.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,Galium mollugo L.,.,.,.,.,.,.,.,.,+
,,,,,,,,,,,,,Bellis perennis L.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Thesium humifusum DC. in Lam. & DC. [sub],.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Polygala vulgaris L.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Hypericum perforatum L.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Geum sylvaticum Pourr.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Vicia disperma DC.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Polypodium vulgare L.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Sedum album L.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Crepis vesicaria L. subsp. haenseleri (Boiss. ex DC.) P.D. Sell [sub],.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Senecio sylvaticus L.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Orobanche gracilis Sm.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Galium mollugo L.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Arabis stenocarpa Boiss. & Reut.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Quercus pyrenaica Willd.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Polypodium interjectum Shivas,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Linaria triornithophora (L.) Willd.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Leucanthemum pseudosylvaticum,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Draba muralis L.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Anarrhinum bellidifolium (L.) Willd.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Helichrysum stoechas (L.) Moench,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Carlina corymbosa L.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Adenocarpus complicatus (L.) J. Gay in Durieu,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Silene scabriflora Brot.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Sedum hirsutum All.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Rumex acetosella L. subsp. angiocarpus (Murb.) Murb. [sub],.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Parietaria lusitanica L.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Hypericum linariifolium Vahl [sub],.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Eryngium tenue Lam.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Allium sphaerocephalon L.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Trifolium glomeratum L.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Trifolium campestre Schreb. in Sturm,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Trifolium arvense L.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Trifolium angustifolium L.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Torilis leptophylla (L.) Rchb. fil. in Rchb.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Phagnalon saxatilis,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Orobanche rapum-genistae Thuill.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Leontodon longirostris (Finch & P.D. Sell) Talavera in Valdés & al.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Geranium molle L.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,
,,,,,,,,,,,,,Asplenium ceterach L. [sub],.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,
