,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,50,51,52,53,54,55,56,57,58,59,60,,,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,,,,,,,,,,,,,Medicago arabica (L.) Huds.,+,.,.,.,.,.,.,.,.,.,.,,,,,,a,Rosmarinus officinalis L.,.,.,.,.,.,r,.,.,.,.,.,.,.,2,2,r,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Sanguisorba verrucosa (Link ex G. Don) Ces.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Rubia peregrina L.,1,1,+,+,+,.,.,.,1,.,1,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Smyrnium olusatrum L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Rubia peregrina L.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,1,.,.,1,+,.,2,2,+,.,+,+,1
,,,,,,,,,,,,,,,,,,,,,,,,,Adenocarpus telonensis (Loisel.) DC. in Lam. & DC.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Rubia peregrina L. subsp. agostinhoi (Dans. & Silva) Valdés-Bermejo & López,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Carex divulsa Stokes in With.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Rubia peregrina L. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Alium neapolitanum,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Rubus ulmifolius Schott,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,Fraxinus angustifolia Vahl,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Ruscus aculeatus L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Cistus psilosepalus Sweet,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Ruscus aculeatus L.,1,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Cosentinia vellea (Aiton) Tod.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Ruta angustifolia Pers.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Rumex papillaris Boiss. & Reut.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Ruta chalepensis L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Dorycnopsis gerardii,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Ruta montana (L.) L.,.,.,.,.,.,(+),.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Anthiriscus caucaulis,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Salsola genistoides Juss. ex Poir. in Lam.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Anthyllis vulneraria L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Sanguisorba minor Scop.,.,.,.,.,.,r,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,+,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Cirsium filipendulum Lange,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Satureja sp.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Cynosurus echinatus L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Scrophularia canina L. subsp. canina,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Geranium lucidum L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Sedum dasyphyllum L. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,¿ Hyacinthoides non-scripta (L.) Chouard ex Rothm. [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Sedum sediforme (Jacq.) Pau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Lathyrus setifolius L. [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Selaginella denticulata (L.) Spring,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,2,.,1
,,,,,,,,,,,,,,,,,,,,,,,,,Polygala monspeliaca L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Serratula sp.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Rhagadiolus stellatus (L.) Gaertn.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Sideritis hirsuta L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Rosa canina L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,a,Sideritis lasiantha Juss. ex Pers.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,Festuca paniculata (L.) Schinz & Thell. subsp. durandoi (Clauson) Emb. & Maire [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Silene latifolia Poir.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,,Trifolium subterraneum L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Smilax aspera L.,3,3,2,3,.,.,.,.,2,1,1,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Smilax aspera L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,(+),.,1,.,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Smilax aspera L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Stachys germanica L. [sub],.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Staehelina dubia L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Staehelina dubia L.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Macrochloa tenacissima (L.) Kunth [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Tamus communis L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Tamus communis L.,.,.,.,.,.,r,(+),+,.,.,2,.,2,.,.,r,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Teucrium eriocephalum Willk. subsp. almeriense (C.E. Hubb. & Sandwith) T. Navarro & Rosúa [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Teucrium fruticans L.,.,+,.,.,+,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Teucrium hieronymi Sennen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Teucrium lusitanicum Schreb.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Teucrium pseudochamaepitys L.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Teucrium pseudochamaepitys L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Thapsia villosa L.,.,.,.,.,.,.,+,1,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Thymus baeticus Boiss. ex Lacaita,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Thymus hyemalis Lange subsp. hyemalis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,2,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Thymus mastichina L.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Torilis arvensis (Huds.) Link,.,.,.,.,.,.,(+),.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Trifolium arvense L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Trifolium campestre Schreb. in Sturm,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Trifolium scabrum L.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Tuberaria guttata (L.) Fourr.,.,.,.,.,.,r,r,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Ulex baeticus Boiss.,.,1,.,.,.,.,.,.,.,.,.,.,.,2,2,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Ulex baeticus Boiss. subsp. scaber (Kunze) Cubas,.,.,.,.,.,.,.,.,.,.,.,1,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Ulex parviflorus Pourr.,.,.,.,.,2,.,.,.,.,.,3,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Ulex parviflorus Pourr. subsp. parviflorus,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Urginea fugax (Moris) Steinh. [sub],.,.,.,.,.,.,.,+,.,+,1,.,.,.,.,.,.,+,1,.,.,.,.,.,.,+,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Urtica membranacea Poir. in Lam.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Viburnum tinus L.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Vinca difformis Pourr.,.,1,1,1,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,Vulpia myuros (L.) C.C. Gmel.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,Ziziphus lotus (L.) Lam.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.
