,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,50,51,52,53,54,55,56,57,58,59,60,,,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,Aristolochia baetica L.,+,1,1,1,+,+,2,1,1,1,.,+,.,1,1,1,.,,,Genista tournefortii Spach,.,.,.,.,.,.,.,.,.,.,.,,,Rubus ulmifolius Schott,+,,h,Bellis sylvestris Cirillo,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.
,,,,,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],.,1,+,+,+,+,+,+,+,2,+,+,+,1,1,1,+,,,Juniperus oxycedrus L. subsp. badia (H. Gay) Debeaux [sub],.,.,.,.,.,.,.,.,.,.,.,,,Vinca difformis Pourr.,+,,h,Blackstonia perfoliata (L.) Huds.,.,.,.,.,.,.,(+),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Phlomis purpurea L.,.,+,+,+,.,+,.,.,+,+,+,.,.,+,+,+,.,,,Pyrus bourgaeana Decne.,.,.,+,.,.,.,+,.,1,2,.,,,Ptilostemon hispanicus (Lam.) Greuter,+,,h,Brachypodium distachyon (L.) P. Beauv.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,+,+
,,,,,Arbutus unedo L.,.,.,.,2,2,1,.,1,1,.,2,1,1,2,2,1,1,,,Iberis linifolia L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Brachypodium retusum (Pers.) P. Beauv.,.,2,.,.,.,.,.,.,.,.,3,2,.,.,2,.,1,2,3,.,.,2,.,.,+,+,.
,,,,,Chamaerops humilis L.,.,+,.,+,+,1,1,.,+,2,.,+,.,.,.,.,.,,,Pistacia terebinthus L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Briza maxima L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.
,,,,,Ceratonia siliqua L.,+,.,.,.,+,+,.,1,+,+,+,.,.,+,1,.,+,,,Paeonia broteri Boiss. & Reut. [sub],+,2,.,.,.,1,.,.,2,.,.,,,,,,h,Bromus madritensis L. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.
,,,,,Tamus communis L.,2,.,.,1,1,+,+,1,2,.,.,.,.,+,.,.,.,,,Hyacinthoides hispanica (Mill.) Rothm.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Bryonia dioica Jacq.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Genista hirsuta Vahl subsp. hirsuta [sub],.,1,.,+,.,+,.,.,+,.,+,.,.,.,+,+,+,,,Asparagus acutifolius L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Calamintha nepeta (L.) Savi,.,.,+,(+),.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,+
,,,,,Carex halleriana Asso [sub],.,2,.,.,.,.,.,.,.,1,2,.,2,2,2,2,.,,,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],.,.,.,+,1,1,2,1,.,.,.,,,,,,a,Calamintha nepeta (L.) Savi,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Urginea fugax (Moris) Steinh. [sub],.,.,.,+,+,.,1,.,+,.,+,+,.,.,.,.,+,,,Asparagus aphyllus L.,.,1,.,+,1,1,2,1,+,1,+,,,,,,a,Calicotome villosa (Poir.) Link,.,.,.,.,.,.,.,.,.,.,1,2,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Pistacia terebinthus L.,.,.,.,.,2,+,+,.,1,.,.,.,.,+,+,.,.,,,Phlomis purpurea L.,.,.,.,.,2,.,.,.,.,.,.,,,,,,h,Campanula rapunculus L.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,(+),.
,,,,,Staehelina dubia L.,.,+,+,.,+,.,.,+,.,+,.,.,.,.,.,.,+,,,Myrtus communis L.,.,.,.,.,.,+,.,.,1,2,.,,,,,,a,Capparis spinosa L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.
,,,,,Cistus albidus L.,.,+,+,.,.,.,.,.,.,+,+,.,.,.,.,+,.,,,Avenella flexuosa (L.) Drejer [sub],.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Carex halleriana Asso [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.
,,,,,Scilla peruviana L.,.,.,.,.,+,1,.,.,1,.,+,.,.,.,.,.,.,,,Scilla monophyllos Link,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Carlina corymbosa L.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Epipactis lusitanica Tyteca,+,.,.,.,.,+,.,.,.,.,.,.,.,+,.,+,.,,,Genaria diphylla,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Centaurea melitensis L.,.,.,.,.,.,r,(+),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Rosmarinus officinalis L.,.,.,1,+,.,.,.,.,.,.,.,.,+,.,.,.,.,,,Ceratonia siliqua L.,.,.,.,.,+,.,1,.,.,.,.,,,,,,h,Centaurium erythraea Raf. subsp. majus (Hoffmanns. & Link) M. Laínz,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.
,,,,,Asperula hirsuta Desf.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,+,.,,,Ruscus aculeatus L.,1,2,3,.,.,.,1,3,.,2,.,,,,,,h,Centaurium pulchellum (Sw.) Druce,.,.,.,.,.,.,(+),.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,Rhaponticum coniferum (L.) Greuter [sub],.,.,.,.,.,.,+,+,.,+,.,.,.,.,.,.,.,,,Viburnum tinus L.,.,.,.,.,.,.,.,.,.,.,.,,,,,,h,Centranthus calcitrapae (L.) Dufr.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
