,,1,2,3,,,,1,2,3,4,5,6,7,8,,,,1,,,,1,,,,,,,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,,,,1
,Asplenium trichomanes L.,1,.,+,,,Origanum virens Hoffmanns. & Link,+,.,.,.,.,.,.,2,,,Geum sylvaticum Pourr.,1,,,,,,,Carex distachya Desf.,1,,,Asplenium ceterach L.,1,.,.,.,.,.,.,+,.,,,Frangula alnus Mill.,.,+,.,.,.,.,,,Rubus ulmifolius Schott,.,+,.,+,1,+,+,,,Smyrnium olusatrum L.,+
,Asplenium ceterach L. [sub],1,.,.,,,Stachys germanica L. [sub],.,+,.,.,.,.,.,.,,,Origanum virens Hoffmanns. & Link,1,,,,,,,Tamus communis L.,+,,,Salvia sclareoides Brot.,.,.,.,.,.,.,1,1,.,,,Quercus coccifera L.,1,.,2,.,.,.,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,.,.,+,1,+,+,+,,,Acanthus mollis L.,+
,Polypodium sp.,1,.,.,,,Lonicera implexa Aiton,.,.,.,.,.,+,.,.,,,Clinopodium vulgare L.,1,,,,,,,Aristolochia paucinervis Pomel,+,,,Clinopodium vulgare L.,.,.,.,+,.,.,.,.,.,,,Rhamnus alaternus L.,.,.,.,.,.,r,,,Geranium purpureum Vill.,+,+,+,+,.,+,.,,,Rubus sp.,1
,Ficus carica L.,(+),.,.,,,Antirrhinum majus L. subsp. linkianum (Boiss. & Reut.) Rothm. [sub],.,+,.,.,.,.,.,.,,,Stachys germanica L. [sub],+,,,,,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],+,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,.,1,.,.,.,.,.,,,Myrtus communis L.,.,.,2,.,.,.,,,Sanguisorba verrucosa (Link ex G. Don) Ces.,.,.,+,+,+,+,+,,,Scrophularia scorodonia L.,+
,,,,,,,Salvia sclareoides Brot.,.,+,.,.,.,.,.,.,,,Calamintha nepeta (L.) Savi,+,,,,,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,+,,,Digitalis purpurea L.,.,.,.,+,.,.,.,.,.,,,Jasminum fruticans L.,.,.,.,.,2,.,,,Pinus pinaster Aiton,.,1,+,1,1,.,.,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],+
,,,,,,,Ruscus aculeatus L.,2,2,2,.,2,2,+,2,,,Sedum forsterianum Sm. in Sowerby,+,,,,,,,Teucrium scorodonia L.,+,,,Origanum virens Hoffmanns. & Link,.,.,1,.,.,.,.,.,.,,,Erica scoparia L.,+,.,2,.,.,1,,,Daphne gnidium L.,.,.,1,1,+,+,.,,,,
,,,,,,,Rubia peregrina L.,2,+,1,.,2,+,+,1,,,Brachypodium phoenicoides (L.) Roem. & Schult.,1,,,,,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,+,,,Andryala integrifolia L.,.,.,.,.,.,.,.,1,.,,,Lithodora prostrata (Loisel.) Griseb. subsp. prostrata,.,.,+,.,.,+,,,Carlina corymbosa L. subsp. hispanica (Lam.) O. Bolòs & Vigo,+,+,.,+,.,.,+,,,,
,,,,,,,Lonicera etrusca G. Santi,2,2,2,x,+,+,+,.,,,Brachypodium sylvaticum (Huds.) P. Beauv.,1,,,,,,,,,,,Urginea fugax (Moris) Steinh. [sub],.,.,.,.,.,.,1,.,.,,,Genista triacanthos Brot.,.,.,2,.,.,.,,,Melica minuta L. [sub],.,+,+,+,+,.,.,,,,
,,,,,,,Asplenium onopteris L. [sub],2,2,.,.,2,+,2,2,,,Dactylis glomerata L. subsp. lusitanica Stebbins & Zohary [sub],+,,,,,,,,,,,Polypodium cambricum L. subsp. cambricum [sub],.,.,.,.,.,.,.,1,.,,,Geranium purpureum Vill.,+,1,+,+,+,+,,,Crataegus monogyna Jacq. [sub],1,1,.,.,.,+,.,,,,
,,,,,,,Rhamnus alaternus L.,2,+,2,x,.,.,+,+,,,Iris foetidissima L.,+,,,,,,,,,,,Ranunculus paludosus Poir.,.,.,.,.,.,.,1,.,.,,,Stachys germanica L. [sub],1,+,.,+,+,.,,,Anagallis monelli L. [sub],.,.,1,1,+,.,.,,,,
,,,,,,,Geranium purpureum Vill. [sub],+,1,1,.,+,.,(+),+,,,Smyrnium perfoliatum L.,+,,,,,,,,,,,Geum sylvaticum Pourr.,.,.,.,.,.,.,1,.,.,,,Salvia sclareoides Brot.,1,1,+,+,.,.,,,Erica scoparia L.,+,1,.,.,.,.,+,,,,
,,,,,,a,Quercus coccifera L.,.,3,2,x,+,.,.,.,,,Geranium purpureum Vill.,+,,,,,,,,,,,Sanguisorba verrucosa (Link ex G. Don) Ces. [sub],.,.,.,.,.,1,.,.,.,,,Clinopodium vulgare L.,.,.,+,+,+,.,,,Origanum vulgare L. subsp. virens (Hoffmanns. & Link) Ietsw.,.,.,+,+,+,.,.,,,,
,,,,,,A,Quercus coccifera L. [sub],.,.,.,.,+,+,4,.,,,Polypodium cambricum L.,+,,,,,,,,,,,Daucus crinitus Desf.,.,.,.,.,.,1,.,.,.,,,Sedum forsterianum Sm. in Sowerby [sub],.,.,.,1,.,2,,,Cheirolophus sempervirens (L.) Pomel,.,.,+,+,.,+,.,,,,
,,,,,,,Daphne gnidium L.,(+),+,+,.,.,.,(+),.,,,,,,,,,,,,,,,Plantago lagopus L.,.,.,.,.,.,1,.,.,.,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],.,.,.,.,1,+,,,Lonicera etrusca G. Santi,+,+,.,.,.,.,+,,,,
,,,,,,,Euphorbia characias L.,+,2,2,.,.,.,.,.,,,,,,,,,,,,,,,Plantago lanceolata L.,.,.,.,.,.,.,1,.,.,,,Origanum virens Hoffmanns. & Link,1,1,.,.,.,.,,,Aristolochia paucinervis Pomel,+,+,.,.,.,.,+,,,,
,,,,,,,Myrtus communis L.,.,.,.,.,2,+,+,.,,,,,,,,,,,,,,,Bellis perennis L.,.,.,.,.,.,1,.,.,.,,,Rumex acetosa L.,.,r,.,.,.,.,,,Carex halleriana Asso [sub],+,+,.,.,.,.,+,,,,
,,,,,,,Pulicaria odora (L.) Rchb.,.,.,.,x,(+),.,.,+,,,,,,,,,,,,,,,Cynara humilis L.,.,.,.,.,.,1,.,.,.,,,Silene latifolia Poir. [sub],.,.,1,.,.,.,,,Euphorbia portlandica L.,.,+,.,.,.,+,+,,,,
,,,,,,,Carea longiseta,.,.,.,.,2,+,.,.,,,,,,,,,,,,,,,Leontodon tuberosus L.,.,.,.,.,.,.,1,.,.,,,Vicia angustifolia L. [sub],1,.,+,1,1,+,,,Silene longicilia (Brot.) Otth,1,.,.,.,.,+,.,,,,
,,,,,,,Rosa sempervirens L.,3,.,.,.,.,.,.,2,,,,,,,,,,,,,,,Brachypodium distachyon (L.) P. Beauv.,.,.,.,.,.,.,+,.,.,,,Cistus salviifolius L. [sub],2,.,+,1,1,+,,,Arum italicum Mill.,+,+,.,.,.,.,.,,,,
,,,,,,,Quercus rotundifolia Lam. [sub],x,.,.,x,.,.,.,.,,,,,,,,,,,,,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange subsp. tridentatum [sub],.,.,.,.,.,.,1,.,.,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,+,1,.,+,r,.,,,Erophaca baetica (L.) Boiss. subsp. baetica,+,+,.,.,.,.,.,,,,
,,,,,,,Asparagus aphyllus L.,+,+,.,.,.,.,.,.,,,,,,,,,,,,,,,Genista triacanthos Brot.,.,.,.,.,.,.,1,.,.,,,Sanguisorba minor Scop.,+,+,+,.,.,1,,,Lithodora prostrata (Loisel.) Griseb. subsp. prostrata,+,+,.,.,.,.,.,,,,
,,,,,,,Phillyrea angustifolia L.,.,.,.,.,.,.,2,.,,,,,,,,,,,,,,,Ulex parviflorus Pourr.,.,.,.,.,.,1,.,.,.,,,Trifolium minor,.,+,.,+,2,+,,,Thapsia villosa L.,+,+,.,.,.,.,.,,,,
,,,,,,,Lathyrus latifolius L.,.,1,.,.,.,.,.,.,,,,,,,,,,,,,,,Cistus crispus L.,.,.,.,.,.,.,1,.,.,,,Urginea fugax (Moris) Steinh. [sub],1,.,1,+,+,.,,,Geum sylvaticum Pourr.,.,+,.,.,.,.,+,,,,
,,,,,,,Moehringia pentandra J. Gay,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,Cistus salviifolius L. [sub],.,.,.,.,.,.,+,.,.,,,Silene patula Desf.,.,.,+,2,+,.,,,Myrtus communis L.,.,.,.,+,.,.,+,,,,
,,,,,,,Coronilla valentina L. subsp. glauca (L.) Batt. in Batt. & Trab. [sub],.,.,.,.,.,.,+,.,,,,,,,,,,,,,,,Phagnalon saxatile (L.) Cass.,.,.,.,.,.,.,+,.,.,,,Ranunculus bulbosus L. [sub],+,1,+,.,.,.,,,Cistus monspeliensis L.,.,.,.,+,+,.,.,,,,
,,,,,,,Calamintha nepeta (L.) Savi [sub],.,.,.,.,.,.,+,.,,,,,,,,,,,,,,,Muscari comosum (L.) Mill.,.,.,.,.,.,.,.,+,.,,,Cytisus striatus (Hill) Rothm.,.,.,2,3,+,.,,,Urginea fugax (Moris) Steinh. [sub],.,.,.,.,+,+,.,,,,
,,,,,,,Jasminum fruticans L.,.,.,.,.,(+),.,.,.,,,,,,,,,,,,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,.,.,.,.,+,.,,,Ferula tingitana L.,.,1,.,r,.,+,,,Brachypodium phoenicoides (L.) Roem. & Schult.,+,.,.,.,.,.,.,,,,
,,,,,,,Tamus communis L.,1,1,2,x,1,+,+,1,,,,,,,,,,,,,,,Allium roseum L.,.,.,.,.,.,.,.,+,.,,,Thapsia villosa L.,.,+,1,+,.,.,,,Coronilla valentina L. subsp. glauca (L.) Batt. in Batt. & Trab.,.,1,.,.,.,.,.,,,,
,,,,,,,Brachypodium sylvaticum (Huds.) P. Beauv.,2,2,.,.,2,+,.,2,,,,,,,,,,,,,,,Echium rosulatum Lange [sub],.,.,.,.,.,.,.,+,.,,,Plantago lanceolata L.,.,+,1,+,+,.,,,Dittrichia viscosa (L.) Greuter subsp. viscosa,.,+,.,.,.,.,.,,,,
,,,,,,,Clinopodium vulgare L. [sub],+,+,+,x,.,.,.,1,,,,,,,,,,,,,,,Bituminaria bituminosa (L.) C.H. Stirt. [sub],.,.,.,.,.,.,+,.,.,,,Bellis sylvestris Cirillo,1,+,+,.,.,.,,,Antirrhinum majus L. subsp. linkianum (Boiss. & Reut.) Rothm.,.,+,.,.,.,.,.,,,,
,,,,,,,Crataegus monogyna Jacq.,2,2,2,.,.,.,.,1,,,,,,,,,,,,,,,Prunus insititoides,.,.,.,.,.,+,.,.,.,,,Muscari comosum (L.) Mill.,+,+,.,+,.,.,,,Thymus zygis Loefl. ex L. subsp. sylvestris (Hoffmanns. & Link) Cout.,.,+,.,.,.,.,.,,,,
,,,,,,,Rubus ulmifolius Schott,2,2,.,.,.,.,+,2,,,,,,,,,,,,,,,Smyrnium olusatrum L.,.,.,.,.,.,+,.,.,.,,,Allium roseum L.,+,+,.,r,.,.,,,Euphorbia nicaeensis All. subsp. nicaeensis [sub],.,.,+,.,.,.,.,,,,
,,,,,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,2,2,.,.,.,.,.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Brachypodium phoenicoides (L.) Roem. & Schult. [sub],2,.,2,.,2,.,,,Teucrium capitatum L.,.,.,.,+,.,.,.,,,,
,,,,,,,Carex divulsa Stokes in With.,2,2,.,.,2,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,Carex flacca Schreb. [sub],2,.,.,+,2,.,,,Genista tournefortii Spach,.,.,.,.,+,.,.,,,,
,,,,,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,.,2,2,.,.,.,.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Asplenium trichomanes L.,+,.,.,.,.,+,,,Orchis tridentata Scop. subsp. conica Willd. [sub],.,.,.,.,+,.,.,,,,
,,,,,,,Carex flacca Schreb. [sub],1,.,.,.,+,.,.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Stellaria media (L.) Vill.,1,+,.,.,.,.,,,Ajuga iva (L.) Schreb.,.,.,.,.,.,+,.,,,,
,,,,,,,Prunella vulgaris L.,1,+,.,.,.,.,.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Cerastium glomeratum Thuill.,+,.,+,.,.,.,,,Agrimonia eupatoria L. subsp. eupatoria,.,.,.,.,.,.,+,,,,
,,,,,,,Erica arborea L.,.,.,.,.,2,+,.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranunculus omiophyllus Ten.,.,.,.,+,.,+,,,Vinca difformis Pourr. [sub],.,.,.,.,.,.,+,,,,
,,,,,,,Rubus sp.,.,2,2,.,2,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,Agrimonia eupatoria L.,+,1,.,.,.,.,,,Scorzonera angustifolia L. [sub],.,.,.,.,.,.,+,,,,
,,,,,,,Vicia angustifolia L.,+,+,.,.,+,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla reptans L.,.,1,.,.,+,.,,,Serratula baetica Boiss. ex DC. subsp. lusitanica Cantó,.,.,.,.,.,.,+,,,,
,,,,,,,Cistus salviifolius L. [sub],2,.,.,.,.,.,+,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Ulex europaeus L. subsp. europaeus,.,.,2,.,.,1,,,,,,,,,,,,,,
