,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,1,2,3,4,5,6,7,8,,,,1,2,3,4,5,,,,1,2,3,4,5,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8
,Pteridium aquilinum (L.) Kuhn in Kerst.,+,2,2,2,4,4,2,2,1,.,1,2,4,,,Galium rotundifolium L.,.,.,.,.,+,2,2,3,,,Agrostis castellana Boiss. & Reut.,.,.,2,1,2,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,+,1,.,,,Cruciata glabra (L.) Ehrend.,2,+,2,.,+,1,,,Melampyrum sylvaticum L.,+,.,.,+,2,.,.,.,.,.,.,.,,,Euphorbia dulcis L.,.,.,.,(+),.,.,(+),+
,Agrostis castellana Boiss. & Reut.,2,2,+,1,+,1,2,2,.,3,3,.,1,,,Anemone nemorosa L.,.,.,.,.,+,+,1,2,,,Erica arborea L. [sub],.,.,+,1,1,,,Platanthera bifolia (L.) Rich.,+,.,.,.,.,,,Galium rivulare Boiss. & Reut.,+,.,+,1,+,+,,,Anemone nemorosa L.,+,.,+,1,.,+,1,.,.,+,.,.,,,Epilobium lanceolatum Sebast. & Mauri,(+),+,.,.,.,.,.,.
,Brachypodium pinnatum (L.) P. Beauv.,.,2,1,2,+,1,4,2,2,.,.,2,.,,,Prunella grandiflora (L.) Scholler subsp. pyrenaica (Gren. & Godron) A. Bolòs,.,+,.,+,+,.,+,.,,,Jasione montana L. subsp. montana,.,+,+,.,+,,,Allium scorzonerifolium Desf. ex DC. in Redouté,.,+,.,.,.,,,Linaria triornithophora (L.) Willd.,1,1,.,2,+,.,,,Galium odoratum (L.) Scop.,+,+,.,1,.,.,1,.,.,+,.,+,,,Prunella hastaefolia,.,+,.,.,.,.,(+),.
,Rubus gr. ulmifolius Schott [sub],.,+,1,+,.,2,1,+,1,.,.,+,.,,,Melica uniflora Retz.,.,.,.,+,+,+,.,.,,,Dactylis glomerata L.,.,.,2,.,1,,,Ceratocapnos claviculata (L.) Lidén [sub],.,.,+,.,.,,,Tanacetum corymbosum (L.) Sch. Bip.,r,+,.,+,+,.,,,Rubus ulmifolius Schott,2,+,.,.,.,2,.,.,+,2,.,.,,,Melittis melissophyllum L.,+,.,.,.,.,.,(+),.
,Tamus communis L.,.,.,2,1,2,1,1,2,1,.,.,1,.,,,Sanicula europaea L.,.,.,.,+,1,+,.,.,,,Cytisus grandiflorus (Brot.) DC. subsp. grandiflorus,1,1,.,.,.,,,Dryopteris filix-mas (L.) Schott,.,.,+,.,.,,,Epilobium montanum L.,r,+,+,.,.,.,,,Rosa canina L.,2,.,2,.,.,.,2,.,.,.,.,+,,,Anthriscus sylvestris (L.) Hoffm.,.,.,.,.,.,1,.,.
,Picris hieracioides L.,.,.,1,+,1,+,1,1,+,.,.,1,.,,,Rubus ulmifolius Schott,+,.,+,+,.,.,.,.,,,Genista florida L. [sub],.,.,2,.,+,,,Primula acaulis (L.) L. [sub],.,.,.,2,.,,,Prunella grandiflora (L.) Scholler subsp. pyrenaica (Gren. & Godron) A. Bolòs,+,3,.,.,3,.,,,Aquilegia vulgaris L.,1,.,.,+,.,.,+,+,.,.,.,.,,,Scilla verna Huds.,.,.,.,.,.,.,1,.
,Anthoxanthum odoratum L.,+,1,1,+,1,1,.,.,.,.,+,.,.,,,Crataegus monogyna Jacq.,.,+,.,.,+,.,+,.,,,Cytisus multiflorus (L'Hér.) Sweet,.,.,1,.,+,,,Blechnum spicant (L.) Roth,.,.,.,+,.,,,Erica arborea L.,+,.,+,+,.,.,,,Crataegus monogyna Jacq.,.,.,.,2,.,.,2,.,.,2,.,2,,,Ilex aquifolium L.,.,.,.,.,.,.,+,.
,Origanum virens Hoffmanns. & Link,.,.,1,+,1,+,1,1,.,.,.,+,.,,,Vaccinium myrtillus L.,3,1,1,1,1,+,1,1,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman,.,1,.,.,+,,,Arabis stenocarpa Boiss. & Reut.,.,.,.,1,.,,,Agrostis castellana Boiss. & Reut.,1,.,+,.,+,.,,,Digitalis purpurea L.,.,.,.,.,+,.,.,.,.,+,+,1,,,Vaccinium myrtillus L.,.,.,.,.,.,.,(+),.
,Melittis melissophyllum L.,.,.,+,r,+,.,+,1,.,.,.,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,2,1,1,1,1,1,2,2,,,Armeria beirana subsp. beirana,.,.,+,.,+,,,Lathyrus niger (L.) Bernh.,+,+,.,2,1,,,Jasione montana L.,+,.,.,.,r,r,,,Primula veris L. subsp. veris,.,.,.,+,.,.,.,.,+,.,.,+,,,Holcus mollis L.,2,2,2,+,2,2,1,2
,Lithodora diffusa=prostrata,.,2,.,2,.,+,2,2,.,.,.,.,.,,,Erica arborea L.,3,2,2,3,4,3,3,3,,,"Centaurea langei Nyman subsp. rothmaleriana (Arènes) E. López, Devesa [sub]",.,.,+,.,+,,,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman,1,+,.,2,1,,,Dactylis glomerata L.,r,.,.,.,r,r,,,Lilium martagon L.,+,.,.,+,.,.,+,.,.,+,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,1,+,1,+,.,+,1,2
