,,1,2,3,4,5,6,7,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,1,2,,,,1,2,3,4,5,6,7,8,9
,Lamium maculatum L.,.,.,.,.,1,.,.,,,,Potentilla erecta (L.) Raeusch.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,Lotus corniculatus L.,.,r,+,.,.,.,.,.,+
,Davallia canariensis (L.) Sm.,.,.,.,.,1,.,.,,,,Campanula lusitanica L. in Loefl.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,Quercus suber L.,(+),.,.,.,+,.,.,.,+
,Frangula alnus Mill.,.,.,.,.,.,+,.,,,,Melica minuta L.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,Brachypodium phoenicoides (L.) Roem. & Schult.,2,.,.,.,.,.,.,.,2
,Leontodon taraxacoides (Vill.) Mérat,.,.,.,.,.,+,.,,,,Ulex gallii Planch.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,,,Danthonia decumbens (L.) DC. in Lam. & DC. subsp. decumbens [sub],2,.,.,.,+,.,.,.,.
,Vicia angustifolia L. [sub],.,.,.,.,.,+,.,,,,Geranium robertianum L.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,,,,,,,Anthoxanthum amarum Brot.,.,2,.,.,r,.,.,.,.
,Arisarum vulgare Targ.-Tozz.,.,.,.,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dryopteris affinis (Lowe) Fraser-Jenk. subsp. borreri (Newman) Fraser-Jenk. [sub],.,.,.,.,.,.,2,+,.
,Carex pilulifera L.,.,.,.,.,.,1,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hypericum linariifolium Vahl [sub],.,2,.,.,.,.,.,.,+
,Pinus pinaster Aiton,.,.,.,.,.,1,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corylus avellana L.,.,.,.,.,.,.,2,2,.
,Polypodium cambricum L.,.,.,.,.,.,1,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brachypodium sylvaticum (Huds.) P. Beauv. [sub],.,.,+,.,+,.,.,.,.
,Oxalis pes-caprea,.,.,.,.,.,1,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lobelia urens L.,+,.,.,.,+,.,.,.,.
,Arundo donax L.,.,.,.,.,.,.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thapsia villosa L.,.,.,+,.,.,.,.,.,+
,Agrostis stolonifera L.,.,.,.,.,.,.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyacinthoides hispanica (Mill.) Rothm. [sub],1,.,.,.,.,(+),.,.,.
,Hypericum androsaemum L.,.,.,.,.,.,.,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plantago lanceolata L.,(+),r,.,.,.,.,.,.,.
,Bryonia dioica Jacq.,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carex depressa Link,.,.,.,.,.,(+),(+),.,.
,Fragaria vesca L.,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ranunculus paludosus Poir. subsp. gregarius (Brot.) Z. Díaz, comb. nova [sub]",.,(+),(+),.,.,.,.,.,.
,Holcus lanatus L.,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scilla monophyllos Link,.,(+),.,.,.,(+),.,.,.
,Rumex conglomeratus Murray,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,Mousses sp.,.,.,.,.,.,4,x,.,.
,Tradescantia fluminensis Vell.,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,Scleropodium purum,.,.,+,2,.,+,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,Thuidium tamariscinum,.,.,.,+,.,+,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,Polytrichum formosum,.,.,+,.,.,+,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acer monspessulanum L.,.,.,.,.,.,.,+,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adenocarpus complicatus (L.) J. Gay in Durieu,.,.,+,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agrostis setarea,.,.,.,.,2,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aira caryophyllea L.,.,.,.,.,.,.,.,.,+
