,,1,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,1,2,3,4,5,6,7,,,,1,2,3,4,5,6,7,8,9,10,11,,,,1,2,3,4,5,6,7
,,,,,Briza maxima L.,.,.,.,.,.,+,1,.,+,+,1,.,.,+,,,Paeonia broteri Boiss. & Reut. [sub],.,+,+,+,+,2,1,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens,.,.,3,.,.,.,.,.,.,.,.,,,Digitalis purpurea L. subsp. purpurea [sub],.,+,+,+,.,1,.
,,,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],.,+,.,.,.,.,+,.,.,.,+,1,1,.,,,Digitalis purpurea L. subsp. purpurea [sub],.,+,+,+,.,1,.,,,Origanum virens Hoffmanns. & Link,.,.,+,.,.,.,.,.,.,.,.,,,Cistus populifolius L.,+,.,+,1,.,.,1
,,,,,Gladiolus communis L. [sub],1,.,.,1,.,1,.,.,1,.,.,.,.,.,,,Cistus populifolius L.,+,.,+,1,.,.,2,,,Sedum forsterianum Sm. in Sowerby,.,.,1,.,.,.,.,.,.,.,.,,,Cistus psilosepalus Sweet [sub],.,+,.,.,.,.,.
,,,,,Castanea sativa Mill.,.,1,.,1,.,.,1,.,1,.,.,.,.,.,,,Cistus psilosepalus Sweet [sub],.,+,.,.,.,.,.,,,Asphodelus ramosus L.,.,.,.,+,.,.,.,.,.,.,.,,,Briza maxima L.,+,.,+,+,+,+,.
,,,,,Pimpinella villosa Schousb.,.,1,.,2,.,.,.,1,.,1,.,.,.,.,,,Briza maxima L.,+,.,2,+,+,+,.,,,Festuca paniculata (L.) Schinz & Thell. subsp. multispiculata Rivas Ponce & Cebolla,.,.,.,+,.,.,.,.,.,.,.,,,Arbutus unedo L.,.,+,1,.,.,.,+
,,,,,Genista triacanthos Brot.,.,.,+,1,.,.,+,.,+,.,+,.,.,.,,,Arbutus unedo L.,.,+,2,.,.,.,+,,,Hypericum perforatum L.,.,.,.,+,.,.,.,.,.,.,.,,,Phillyrea latifolia L. [sub],1,+,.,.,.,1,.
,,,,,Smilax aspera L.,.,.,.,.,.,+,.,+,.,.,.,.,.,.,,,Phillyrea latifolia L. [sub],1,+,.,.,.,1,.,,,Halimium ocymoides (Lam.) Willk. in Willk. & Lange,.,.,.,.,1,.,.,.,.,.,.,,,Asparagus acutifolius L.,+,.,.,.,.,+,+
,,,,,Arisarum vulgare Targ.-Tozz.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,,,Asparagus acutifolius L.,+,.,.,.,.,+,+,,,Centaurea cordubensis Font Quer,.,.,.,.,.,+,.,.,.,.,.,,,Viola alba Besser [sub],+,+,+,+,+,.,.
,,,,,Asparagus albus L.,.,.,.,.,.,.,.,.,.,.,.,.,1,2,,,Viola sepinicola subsp. glabrescens,+,+,+,+,2,.,.,,,Centaurium erythraea Raf. subsp. majus (Hoffmanns. & Link) M. Laínz,.,.,.,.,.,1,.,.,.,.,.,,,Quercus rotundifolia Lam. [sub],1,.,1,.,.,.,.
,,,,,Jasminum fruticans L.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,,,Quercus rotundifolia Lam. [sub],1,.,2,.,.,.,.,,,Cistus ladanifer L.,.,.,.,.,.,1,1,.,+,.,.,,,Pyrus communis subsp. marianica,.,+,.,.,1,.,1
