,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,,,1,2,3,4,5,6,7,8,,,,1,2,3,,,,1,,,,1,2,3,4,,,,1,2,3,4,5,6,7,8,9,10
,Ruscus aculeatus L.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,1,1,1,+,.,.,,,,,,,,,,,,,,Cytisus scoparius (L.) Link,.,+,.,,,,,,,Jasione montana L.,.,.,+,+,,,Hieracium gr. murorum L. [sub],.,+,.,.,1,+,.,.,+,1
,Ranunculus ollissiponensis Pers.,.,.,.,.,.,+,.,.,.,+,.,.,+,.,+,.,.,+,.,.,.,,,,,,,,,,,,,,Luzula campestris (L.) DC.,.,+,.,,,,,,,Agrostis castellana Boiss. & Reut.,.,.,1,.,,,Jasione montana L.,.,.,+,+,.,.,.,r,+,r
,Cardamine hirsuta L.,.,.,.,.,.,+,+,.,.,.,.,.,+,.,.,+,+,.,.,.,.,,,,,,,,,,,,,,Halimium umbellatum (L.) Spach,.,+,.,,,,,,,Anthoxanthum odoratum L.,.,.,+,.,,,Tanacetum corymbosum (L.) Sch. Bip.,.,.,r,.,+,.,+,+,+,.
,Sedum forsterianum Sm. in Sowerby,.,.,.,.,.,.,+,+,.,+,.,1,.,.,.,.,.,.,.,+,.,,,,,,,,,,,,,,Jasione montana L.,.,+,.,,,,,,,Aristolochia paucinervis Pomel [sub],.,.,+,.,,,Campanula rapunculus L.,.,.,.,+,.,.,+,+,+,+
,Poa pratensis L.,+,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,,,,Achillea millefolium L.,.,+,.,,,,,,,Asplenium onopteris L.,.,.,.,+,,,Silene nutans L.,+,.,.,.,r,.,.,+,+,.
,Rumex acetosa L.,+,.,.,.,.,.,.,+,.,.,.,.,.,+,.,.,+,.,.,.,.,,,,,,,,,,,,,,Agrostis capillaris L.,.,+,.,,,,,,,Campanula glomerata L.,.,.,.,2,,,Rubus sp.,.,1,.,.,.,.,1,+,.,+
,Silene nutans L.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,.,+,.,,,,,,,,,,,,,,Thymus praecox Opiz,.,+,.,,,,,,,Campanula lusitanica L. in Loefl.,.,.,+,.,,,Epilobium montanum L.,.,.,r,+,+,+,.,.,.,.
,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],+,.,+,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl,.,+,.,,,,,,,Cistus psilosepalus Sweet,.,.,r,.,,,Agrostis castellana Boiss. & Reut.,.,.,1,1,.,+,.,+,.,.
,Carex muricata L. subsp. pairaei (F. Schultz) Asch. & Graebn. [sub],+,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,Teesdalia nudicaulis (L.) R. Br. in W.T. Aiton,.,+,.,,,,,,,Crepis capillaris (L.) Wallr.,.,.,+,.,,,Dactylis glomerata L.,.,.,r,+,.,.,.,r,.,r
,Lithodora diffusa (Lag.) I. M. Johnston [sub],+,.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,+,.,.,.,.,,,,,,,,,,,,,,Silene italica (L.) Pers.,.,+,.,,,,,,,Cruciata glabra (L.) Ehrend.,2,.,.,.,,,Asphodelus albus Mill.,.,.,.,.,.,.,+,r,.,r
