,,1,2,3,4,5,6,7,8,9,10,11,,,1,2,3,4,5,6,7,8,9
,Cytisus grandiflorus (Brot.) DC.,.,.,.,2,.,1,.,2,+,.,.,,Scrophularia scorodonia L.,.,.,.,.,.,1,.,.,+
,Rhus coriaria L.,.,.,.,2,+,3,.,.,3,.,.,,Anogramma leptophylla (L.) Link,.,.,.,.,+,+,.,.,.
,Cytisus scoparius (L.) Link,.,.,.,.,.,.,.,1,.,1,1,,Antirrhinum graniticum Rothm.,.,.,.,+,.,.,+,.,.
,Genista falcata Brot.,.,.,+,.,.,.,.,.,.,1,1,,Asplenium trichomanes L. subsp. quadrivalens D.E. Mey.,.,.,.,.,.,+,.,.,+
,Melica ciliata L.,.,1,.,+,.,.,.,2,.,.,.,,Polypodium cambricum L. subsp. cambricum,+,.,.,.,.,.,.,.,+
,Dactylis glomerata L. subsp. hispanica (Roth) Nyman [sub],.,.,.,1,.,+,.,.,.,1,.,,Sedum forsterianum Sm. in Sowerby,+,.,.,+,.,.,.,.,.
,Cytisus striatus (Hill) Rothm.,.,.,+,.,.,1,.,.,+,.,.,,Aristolochia paucinervis Pomel,.,.,.,.,.,2,.,.,.
,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,+,.,+,1,.,.,.,.,.,,Ferula communis L. subsp. catalaunica (Pau ex C. Vicioso) Sánchez Cuxart & Bernal,.,.,.,.,.,2,.,.,.
,Lavandula pedunculata Cav. [sub],.,.,.,+,.,.,.,1,.,.,+,,Lamium maculatum L.,.,.,.,.,.,2,.,.,.
,Sanguisorba verrucosa (Link ex G. Don) Ces.,.,+,+,.,.,.,.,+,.,.,.,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens,.,.,.,1,.,.,.,.,.
,Thapsia villosa L.,.,.,+,.,+,.,.,+,.,.,.,,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,.,.,.,1,.,.,.
,Scrophularia scorodonia L.,.,.,.,.,.,.,+,1,.,.,.,,Cytisus scoparius (L.) Link subsp. scoparius,.,.,.,.,.,1,.,.,.
,Festuca elegans Boiss.,.,.,.,.,.,.,.,.,.,+,1,,Origanum virens Hoffmanns. & Link,.,.,.,.,.,1,.,.,.
,Geranium lucidum L.,.,.,.,.,.,.,.,.,.,1,1,,Pinus pinaster Aiton,.,.,.,.,.,.,1,.,.
,Bromus sterilis L.,.,.,.,.,.,.,.,.,.,1,+,,Agrostemma githago L.,.,.,.,.,.,+,.,.,.
,Cynosurus cristatus L.,.,.,.,+,.,.,.,.,.,1,.,,Anarrhinum bellidifolium (L.) Willd.,.,.,.,.,.,+,.,.,.
,Anogramma leptophylla (L.) Link,.,.,.,.,+,.,.,+,.,.,.,,Arabis stenocarpa Boiss. & Reut.,+,.,.,.,.,.,.,.,.
,Antirrhinum graniticum Rothm.,.,.,.,+,.,+,.,.,.,.,.,,Asplenium ruta-muraria L. [sub],+,.,.,.,.,.,.,.,.
,Asplenium trichomanes L. subsp. quadrivalens D.E. Mey. [sub],.,.,.,.,.,.,+,+,.,.,.,,Brachypodium distachyon (L.) P. Beauv.,.,.,.,+,.,.,.,.,.
,Conopodium majus (Gouan) Loret in Loret & Barrandon subsp. marizianum (Samp.) López Udias & Mateo [sub],.,.,+,.,.,.,.,.,.,.,+,,Calamintha nepeta (L.) Savi subsp. nepeta,.,.,.,.,.,+,.,.,.
,Polypodium cambricum L.,.,.,+,.,.,.,+,.,.,.,.,,Celtis australis L.,.,.,.,.,.,.,.,+,.
,Viburnum tinus L.,1,.,.,.,.,.,.,.,.,.,.,,Centranthus calcitrapae (L.) Dufr. subsp. calcitrapae,.,.,.,.,.,+,.,.,.
,Arum italicum Mill. subsp. neglectum (Towns.) Prime,.,.,+,.,.,.,.,.,.,.,.,,"Coincya monensis (L.) Greuter & Burdet subsp. cheiranthos (Vill.) Aedo, Leadlay & Muñoz Garm.",.,.,.,.,.,+,.,.,.
,Hyacinthoides hispanica (Mill.) Rothm.,.,.,.,+,.,.,.,.,.,.,.,,Coleostephus myconis (L.) Rchb. fil.,.,.,.,.,.,+,.,.,.
,Arisarum simorrhinum Durieu,.,.,.,.,.,.,+,.,.,.,.,,Conopodium majus (Gouan) Loret in Loret & Barrandon subsp. marizianum (Samp.) López Udias & Mateo,+,.,.,.,.,.,.,.,.
,Asplenium ruta-muraria L.,.,.,+,.,.,.,.,.,.,.,.,,Conyza canadensis (L.) Cronquist,.,.,.,.,.,.,+,.,.
,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens,.,.,.,1,.,.,.,.,.,.,.,,Crucianella angustifolia L.,.,.,.,.,.,+,.,.,.
,Brachypodium distachyon (L.) P. Beauv.,.,.,.,+,.,.,.,.,.,.,.,,Cynodon dactylon (L.) Pers.,.,.,.,.,.,.,.,+,.
,Pinus pinaster Aiton,.,.,.,.,.,1,.,.,.,.,.,,Cynosurus cristatus L.,.,.,.,+,.,.,.,.,.
,Conyza canadensis (L.) Cronquist,.,.,.,.,.,+,.,.,.,.,.,,Genista falcata Brot.,+,.,.,.,.,.,.,.,.
,Ferula communis L.,.,.,.,.,.,.,.,2,.,.,.,,Hypericum perforatum L. subsp. perforatum,.,.,.,.,.,.,+,.,.
