,,1,2,3,4,5,6,,,,1,2,3,,,,1,2,3,4,5,,,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,,,88,89,90,91,92,93
,Geranium purpureum Vill.,.,.,.,.,.,+,,,Agrostis curtisii Kerguélen,1,.,.,,,Briza maxima L.,+,1,1,.,.,,,Stachys officinalis subsp. algerensis,.,.,1,+,+,.,.,.,.,,,Erica scoparia L.,1,+,+,+,2,2,1,2,2,2,1,2,1,1,1,+,.,1,3,1,+,1,1,1,2,+,1,1,,,Serratula alcalae Coss.,.,.,.,.,.,.
,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis,.,.,.,.,.,+,,,Cistus crispus L.,+,.,.,,,Campanula lusitanica L. in Loefl.,+,1,1,.,.,,,Cistus salviifolius L. [sub],.,.,+,.,1,.,1,.,.,,,Cistus salviifolius L. [sub],.,+,1,.,1,+,1,1,1,1,+,1,.,.,1,+,2,1,1,1,1,1,2,.,1,1,+,+,,,Osyris quadripartita Salzm. ex Decne.,.,+,.,.,.,.
,,,,,,,,,,Thapsia villosa L.,+,.,.,,,Ornithopus pinnatus (Mill.) Druce,+,+,+,.,.,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],.,.,1,.,+,.,.,.,.,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],2,1,1,.,+,+,+,+,.,.,.,1,.,+,+,+,1,2,1,1,1,+,+,1,1,1,1,+,,,Antirrhinum majus L. subsp. cirrhigerum (Ficalho) Franco [sub],.,.,.,.,.,.
,,,,,,,,,,Sanguisorba verrucosa (Link ex G. Don) Ces.,+,.,.,,,Jurinea humilis (Desf.) DC. [sub],.,1,.,.,1,,,Cistus crispus L.,.,.,+,.,+,.,1,.,.,,,Ulex jussiaei Webb,+,+,+,1,2,1,1,1,1,1,1,2,+,+,2,+,.,.,.,.,.,.,.,.,.,.,.,.,,,Rubia peregrina L. [sub],+,1,.,.,.,.
,,,,,,,,,,Pulicaria paludosa Link,+,.,.,,,Spergularia purpurea (Pers.) G. Don,+,.,.,.,.,,,Erica umbellata Loefl. ex L.,.,.,1,+,.,+,.,.,.,,,Lithodora prostrata (Loisel.) Griseb. subsp. lusitanica (Samp.) Valdés. [sub],1,.,.,+,.,+,+,+,.,.,1,1,.,.,+,+,+,.,1,.,+,.,+,+,.,1,+,+,,,Daphne gnidium L.,+,+,.,.,.,.
,,,,,,,,,,Centaurium erythraea Raf. subsp. erythraea,+,.,.,,,Vicia angustifolia L.,+,.,.,.,.,,,Erica cinerea L.,.,1,.,.,.,.,.,1,.,,,Erica umbellata Loefl. ex L.,.,+,+,.,.,.,1,.,.,+,1,.,+,.,+,.,+,.,+,1,1,.,+,+,.,1,+,.,,,Lonicera implexa Aiton,.,.,.,.,.,.
,,,,,,,,,,Bupleurum rigidum L. subsp. paniculatum (Brot.) H. Wolff in Engl.,+,.,.,,,Cistus monspeliensis L.,1,.,.,.,.,,,Thapsia villosa L.,.,.,1,.,+,.,.,.,.,,,Calluna vulgaris (L.) Hull,.,1,.,+,.,.,1,+,.,.,.,1,.,.,+,+,1,+,+,.,1,.,.,.,+,+,1,.,,,Rhamnus alaternus L.,3,+,.,.,.,.
,,,,,,,,,,Brachypodium phoenicoides (L.) Roem. & Schult.,+,.,.,,,Cistus crispus L.,1,.,.,.,.,,,Tuberaria lignosa (Sweet) Samp.,.,.,+,.,+,.,.,.,.,,,Asphodelus ramosus L.,.,.,.,+,+,1,.,+,.,.,.,.,+,.,+,+,+,.,+,.,+,.,1,+,+,.,.,.,,,Smilax aspera L.,.,.,.,.,.,.
,,,,,,,,,,Bellis sylvestris Cirillo,+,.,.,,,Conopodium marianum Lange,+,.,.,.,.,,,Andryala integrifolia L.,.,.,.,.,+,+,.,.,.,,,Genista triacanthos Brot.,1,.,.,+,.,.,.,+,1,+,.,.,.,+,.,.,.,.,.,.,+,+,1,1,+,.,+,.,,,Asparagus aphyllus L.,1,+,.,.,.,.
,,,,,,,,,,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus,.,+,.,,,Cynosurus echinatus L.,+,.,.,.,.,,,Sanguisorba verrucosa (Link ex G. Don) Ces. [sub],.,.,.,.,+,+,.,.,.,,,Chamaespartium tridenlatum,+,1,.,.,.,.,+,+,.,.,.,.,.,.,+,.,2,+,+,.,+,.,.,.,.,+,+,.,,,Arisarum simorrhinum Durieu [sub],.,.,.,.,.,.
,,,,,,,,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],.,+,.,,,Linaria spartea (L.) Willd.,+,.,.,.,.,,,Helictochloa marginata (Lowe) Romero Zarco [sub],1,.,.,.,.,.,.,.,.,,,Cistus crispus L.,1,.,.,.,+,.,+,+,.,.,+,.,.,.,.,+,.,.,+,.,.,1,+,+,.,.,+,.,,,Phillyrea angustifolia L.,.,.,.,.,.,.
,,,,,,,,,,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis,.,+,.,,,Brachypodium distachyon (L.) P. Beauv.,.,+,.,.,.,,,Rhaponticoides africana (Lam.) M.V.Agab. & Greuter [sub],1,.,.,.,.,.,.,.,.,,,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,.,+,.,+,2,1,1,.,+,.,.,.,.,1,.,.,.,.,1,2,.,.,.,.,+,.,,,Asparagus acutifolius L.,.,.,.,.,.,.
,,,,,,,,,,Carlina corymbosa L. subsp. hispanica (Lam.) O. Bolòs & Vigo,.,+,.,,,Vulpia myuros (L.) C.C. Gmel. subsp. sciuroides (Roth) Rouy [sub],.,1,.,.,.,,,Halimium lasianthum (Lam.) Spach,.,.,.,.,1,.,.,.,.,,,Urginea fugax (Moris) Steinh. [sub],1,.,.,.,.,.,+,+,+,.,+,.,.,.,+,.,.,.,.,.,+,+,.,.,.,+,+,.,,,Jasminum fruticans L.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,Airopsis tenella (Cav.) Asch. & Graebn.,.,1,.,.,.,,,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,.,.,+,.,.,.,.,,,Pulicaria odora (L.) Rchb.,.,.,+,.,.,+,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,+,+,+,+,.,.,.,,,Arbutus unedo L.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,Vulpia ciliata Dumort.,.,1,.,.,.,,,Pulicaria odora (L.) Rchb.,.,.,.,.,+,.,.,.,.,,,Ulex airensis Espírito Santo & al.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,1,1,1,1,+,.,.,.,.,.,.,,,Selaginella denticulata (L.) Spring,.,.,.,.,.,.
,,,,,,,,,,,,,,,,Tolpis umbellata Bertol. [sub],.,1,.,.,.,,,Polygala monspeliaca L.,.,.,.,.,+,.,.,.,.,,,Thapsia villosa L.,.,.,.,.,+,1,.,+,.,.,.,.,.,.,+,+,.,.,.,+,.,.,.,.,.,+,+,.,,,Teucrium fruticans L.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,Orobanche minor Sm. in Sowerby,.,+,.,.,.,,,Erica ciliaris L.,.,.,.,.,+,.,.,.,.,,,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis [sub],.,.,+,.,+,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,1,+,.,+,.,.,,,Anemone palmata L.,.,+,.,.,.,.
,,,,,,,,,,,,,,,,Misopates orontium (L.) Raf.,.,+,.,.,.,,,Carex divulsa Stokes in With.,.,.,.,.,.,+,.,.,.,,,Helictochloa marginata (Lowe) Romero Zarco [sub],.,+,.,+,.,.,.,1,+,+,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Osyris alba L.,.,.,.,.,2,.
,,,,,,,,,,,,,,,,Rumex arifolius All. [sub],.,+,.,.,.,,,Erica australis L.,.,.,.,.,.,+,.,.,.,,,Dactylis glomerata L. subsp. lusitanica Stebbins & Zohary [sub],.,.,.,.,.,.,1,+,+,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,.,+,.,.,,,Phillyrea latifolia L. [sub],.,.,.,.,.,.
,,,,,,,,,,,,,,,,Molineriella laevis (Brot.) Rouy,.,+,.,.,.,,,Centaurea aspera L. subsp. stenophylla (L.M. Dufour) Nyman,.,.,.,.,.,.,1,.,.,,,Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,2,1,1,1,+,,,Coronilla valentina L. subsp. glauca (L.) Batt. in Batt. & Trab. [sub],.,.,.,.,.,.
,,,,,,,,,,,,,,,,Hyparrhenia hirta (L.) Stapf in Prain subsp. pubescens (Vis.) Paunero [sub],.,.,.,1,.,,,Agrostis stolonifera L.,.,.,.,.,.,.,+,.,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,1,+,1,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,,,Ceratonia siliqua L.,.,.,.,.,.,.
