,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,1
,Arum italicum Mill. subsp. italicum,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Cephalanthera longifolia (L.) Fritsch,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Cistus albidus L.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Crataegus monogyna Jacq. [sub],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,
,Cytisus sp.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,
,Daucus carota L. [sub],.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Ferula communis L. subsp. communis,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Galactites tomentosa Moench,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,
,Hypericum humifusum L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,
,Hypericum perfoliatum L.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,,,,,
,Neotinea maculata (Desf.) Stearn,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Nepeta multibracteata Desf.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,,,,,
,Picris spinifera Franco,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,
,Piptatherum miliaceum (L.) Coss.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Bituminaria bituminosa (L.) C.H. Stirt. [sub],.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,
,Viola sp.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,
