,,71,72,73,74,75,76,77,78,79,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,1,,,,1,,,,1,2,3,4,5,6,7,,,,1,2,3,4,5
,Antirrhinum majus L. subsp. cirrhigerum (Ficalho) Franco [sub],.,.,.,.,.,.,.,.,.,,,Myrtus communis L.,.,.,.,.,.,2,.,+,2,.,.,.,.,.,.,.,.,2,.,,,,,,,,,,,Rosmarinus officinalis L.,.,.,.,.,+,.,+,,,Pinus pinea L.,.,.,.,1,1
,Rubia peregrina L. [sub],2,1,+,+,1,2,+,1,+,,,Viburnum tinus L.,.,.,.,.,.,.,2,3,.,.,.,.,.,.,.,.,+,+,.,,,,,,,,,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],.,.,.,.,.,+,1,,,Cistus monspeliensis L.,+,1,.,.,.
,Daphne gnidium L.,2,1,1,1,+,1,+,+,+,,,Vinca difformis Pourr.,+,.,.,.,.,.,.,.,.,2,+,.,.,.,.,.,.,1,.,,,,,,,,,,,Carex halleriana Asso [sub],.,1,.,.,.,.,.,,,Nothobartsia asperrima (Link) Benedí & Herrero [sub],+,.,1,.,.
,Lonicera implexa Aiton,2,+,+,+,2,1,1,+,+,,,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire [sub],.,.,.,1,.,.,.,.,.,.,.,1,+,.,.,.,+,.,.,,,,,,,,,,,Brachypodium phoenicoides (L.) Roem. & Schult.,.,1,.,.,.,.,.,,,Lathyrus clymenum L.,+,+,.,.,.
,Rhamnus alaternus L.,3,2,2,1,1,2,.,1,.,,,Arbutus unedo L.,.,.,.,.,.,.,+,1,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,Phlomis lychnitis L.,.,+,.,.,.,.,.,,,Lithodora prostrata (Loisel.) Griseb. subsp. prostrata,+,.,+,.,.
,Smilax aspera L.,2,2,1,.,1,1,1,+,+,,,Asplenium onopteris L.,.,.,.,1,.,+,.,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Crataegus monogyna Jacq. [sub],.,+,.,.,.,.,.,,,Thapsia villosa L.,+,.,+,.,.
,Asparagus aphyllus L.,1,1,1,.,.,.,+,+,.,,,Bupleurum fruticosum L.,.,.,.,.,.,1,.,.,.,2,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Asplenium ceterach L.,.,.,+,.,.,.,.,,,Sanguisorba verrucosa (Link ex G. Don) Ces.,.,+,+,.,.
,Arisarum simorrhinum Durieu [sub],.,.,.,.,.,.,.,.,.,,,Laurus nobilis L.,2,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,Teucrium capitatum L.,.,.,.,1,.,.,.,,,Teucrium capitatum L.,.,+,+,.,.
,Phillyrea angustifolia L.,.,.,+,.,.,.,.,+,.,,,Erica arborea L.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,Asparagus aphyllus L.,.,+,.,+,.
,Asparagus acutifolius L.,.,.,.,.,1,+,.,.,.,,,Asparagus acutifolius L.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,Helictochloa marginata (Lowe) Romero Zarco [sub],.,.,+,+,.
