,,1,2,3,4,,,,1,2,3,4,5,6,7,8,9,10,11,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,1,2,3,4,5,6,7,8,9,10,11,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,1,2,3,4,5,,,,1,2,3,4,5,6,7,8,9,10,11,12
,Parietaria lusitanica L.,.,1,.,1,,,Prunus avium L.,.,+,.,.,.,+,.,.,.,+,.,,,Galium album Mill. subsp. album [sub],.,.,.,.,.,.,.,1,.,.,.,+,+,.,.,.,+,.,,,Polypodium vulgare L.,+,.,.,+,.,.,.,.,.,.,.,,,Lonicera periclymenum L.,2,.,2,.,.,.,.,+,.,r,.,.,.,.,.,.,.,.,.,+,,,Crucianella angustifolia L.,+,.,.,.,.,,,Galium rivulare Boiss. & Reut.,.,.,.,.,.,.,.,r,.,1,+,+
,Thymus zygis Loefl. ex L.,.,.,+,+,,,Quercus pyrenaica Willd.,.,.,.,+,.,.,.,.,1,.,1,,,Digitalis purpurea L.,.,+,.,.,.,.,.,+,.,+,.,.,.,+,.,.,.,.,,,Rosa canina L.,.,+,2,.,.,.,.,.,.,.,.,,,Erica cinerea L.,.,2,.,.,2,.,2,.,3,.,.,.,.,.,.,.,.,.,.,.,,,Veronica verna L.,+,.,.,.,.,,,Cistus salviifolius L. [sub],1,1,+,.,.,.,.,.,.,.,.,.
,Spergularia purpurea (Pers.) G. Don [sub],1,.,.,.,,,Rubus ulmifolius Schott,+,.,.,.,.,.,.,+,.,.,+,,,Erysimum linifolium (Pourr. ex Pers.) J. Gay,.,+,.,.,.,.,.,.,.,.,+,.,+,.,+,.,.,.,,,¿ Festuca elegans Boiss. [sub],.,.,3,.,.,.,.,3,.,.,.,,,Silene nutans L.,.,.,+,+,.,1,.,.,.,.,2,.,.,.,.,.,.,.,.,.,,,Petrorhagia prolifera (L.) P.W. Ball & Heywood,+,.,.,.,.,,,Galium sp.,+,+,+,.,.,.,.,.,.,.,.,.
,Prunus mahaleb L.,+,.,.,.,,,Cytisus scoparius (L.) Link,.,.,.,+,.,.,.,.,+,.,.,,,Cistus ladanifer L. [sub],.,.,.,1,1,.,+,+,.,.,.,.,.,.,.,.,.,.,,,Thapsia villosa L.,.,.,.,+,.,.,+,.,.,.,.,,,Frangula alnus Mill.,.,.,+,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,,,Sedum forsterianum Sm. in Sowerby,+,.,.,.,.,,,Aristolochia paucinervis Pomel [sub],+,.,.,.,1,2,.,.,.,.,.,.
,Linaria spartea (L.) Willd.,+,.,.,.,,,Fraxinus angustifolia Vahl,.,.,.,.,.,+,.,.,+,.,.,,,Lotus corniculatus L. subsp. carpetanus (Lacaita) Rivas Mart. [sub],.,.,.,+,.,.,+,1,.,.,+,.,.,.,.,.,.,.,,,Genista falcata Brot.,.,.,.,.,.,.,.,r,+,.,.,,,Rosa canina L.,.,+,2,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,,,Vicia tetrasperma (L.) Schreb.,+,.,.,.,.,,,Sedum forsterianum Sm. in Sowerby [sub],r,.,.,.,.,.,.,.,.,2,+,.
,Centranthus calcitrapae (L.) Dufr.,+,.,.,.,,,Arum italicum Mill.,.,.,.,.,.,.,+,+,.,.,.,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,.,.,.,+,.,.,+,+,.,.,.,.,.,.,+,.,,,Genista florida L. [sub],.,.,.,.,.,2,.,.,1,.,.,,,Sedum album L.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,.,.,1,2,.,.,,,Pilosella officinarum F.W.Schultz & Sch. Bip. [sub],1,.,.,.,.,,,Erica cinerea L.,.,2,.,2,.,.,.,r,.,.,.,.
,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],+,.,.,.,,,Cistus ladanifer L.,.,.,+,.,.,.,.,+,.,.,.,,,Conopodium majus (Gouan) Loret in Loret & Barrandon subsp. marizianum (Samp.) López Udias & Mateo [sub],.,.,.,.,.,.,.,.,.,+,.,+,+,.,.,+,.,.,,,Cephalanthera longifolia (L.) Fritsch,.,.,.,.,.,.,1.1,.,2,.,.,,,Galium pumilum Murray subsp. pinetorum (Ehrend.) Vigo [sub],.,.,.,+,+,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Silene nutans L.,+,.,.,.,.,,,Lapsana communis L.,.,.,.,.,+,+,+,.,.,.,.,.
,Aira caryophyllea L.,+,.,.,.,,,Bryonia dioica Jacq. [sub],+,.,.,.,.,.,.,.,.,.,.,,,Fraxinus gr. angustifolia Vahl [sub],.,.,.,.,.,+,.,.,.,.,.,.,+,.,.,+,+,.,,,Centranthus calcitrapae (L.) Dufr.,.,.,.,.,.,.,r,.,r,.,.,,,Polypodium vulgare L.,+,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,.,.,.,.,,,Cytisus scoparius (L.) Link,.,2,.,.,.,,,Helleborus foetidus L.,.,.,.,.,+,+,.,+,.,.,.,.
,Polycarpon tetraphyllum (L.) L.,+,.,.,.,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange subsp. tridentatum [sub],+,.,.,.,.,.,.,.,.,.,.,,,Jasminum fruticans L.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,Acacia dealbata Link,.,.,2,.,.,.,.,.,.,.,.,,,Cistus psilosepalus Sweet,.,1,.,.,.,.,.,2,+,.,.,.,.,.,.,.,.,.,.,.,,,Lavandula pedunculata Cav. [sub],.,+,.,.,.,,,Fraxinus angustifolia Vahl,.,.,.,.,.,1,+,r,.,.,.,.
,Teesdalia coronopifolia (J. P. Bergeret) Thell.,+,.,.,.,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],+,.,.,.,.,.,.,.,.,.,.,,,Carex distachya Desf.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,Andryala integrifolia L.,.,+,.,.,.,.,.,.,.,.,.,,,Cephalanthera longifolia (L.) Fritsch,.,.,.,1,.,2,.,.,.,.,.,1,.,.,.,.,.,.,.,.,,,Quercus pyrenaica Willd.,.,.,+,.,.,,,Digitalis purpurea L.,.,.,.,.,.,.,.,.,+,+,+,.
