,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10
,Juniperus oxycedrus L. subsp. badia (H. Gay) Debeaux [sub],.,.,.,.,.,.,.,.,.,.,1,1,.,.,,,,Ruscus aculeatus L.,.,1,.,.,.,.,.,,,,,,,,Pulicaria odora (L.) Rchb.,.,+,.,+,.,+,+,+,.,.
,Arisarum vulgare Targ.-Tozz.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,,,,Arisarum vulgare Targ.-Tozz.,.,1,.,.,.,.,.,,,,,,,,Clinopodium vulgare L. [sub],+,.,+,1,1,+,+,+,+,+
,Carex depressa Link,.,.,.,.,.,.,.,.,.,.,.,.,.,1,,,,Myrtus communis L.,.,1,.,.,.,+,.,,,,,,,,Geum sylvaticum Pourr. [sub],+,.,.,+,.,.,+,.,+,+
,Thapsia nitida Lacaita,+,.,.,+,.,.,+,+,.,.,.,.,.,.,,,,Phillyrea latifolia L.,.,.,.,.,.,2,.,,,,,,,,Malva cretica Cav. subsp. althaeoides (Cav.) Dalby [sub],.,.,.,+,1,1,.,+,.,.
,Genista tournefortii Spach,.,.,.,.,.,.,.,.,+,.,+,.,+,.,,,,Asparagus acutifolius L.,.,.,.,.,.,1,.,,,,,,,,Stachys officinalis (L.) Trevis. [sub],.,+,+,.,1,.,.,.,.,.
,Lonicera implexa Aiton,.,.,.,.,.,.,.,.,1,1,1,1,.,.,,,,Quercus coccifera L.,.,.,.,.,.,1,.,,,,,,,,Cerastium brachypetalum N.H.F. Desp. ex Pers.,+,.,+,.,+,+,+,+,.,.
,Carex halleriana Asso,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,Pistacia lentiscus L.,.,.,.,.,.,1,.,,,,,,,,Ruscus aculeatus L.,1,+,.,.,.,.,.,+,+,1
p,Castanea sativa Mill.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,,,,Jasminum fruticans L.,.,.,.,.,.,.,2,,,,,,,,Paeonia broteri Boiss. & Reut. [sub],+,.,1,.,2,1,+,1,1,1
,Carlina racemosa L.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,,,,Osyris alba L.,.,.,.,.,.,.,+,,,,,,,,Luzula forsteri (Sm.) DC. in Lam. & DC.,.,.,+,.,+,.,.,.,.,.
,Gladiolus communis L. [sub],.,.,1,.,.,.,.,.,.,.,.,.,.,.,,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],.,.,.,.,.,.,+,,,,,,,,Digitalis purpurea L. subsp. purpurea [sub],.,.,.,.,.,.,.,.,1,.
,Adenocarpus complicatus (L.) J. Gay in Durieu,.,.,1,.,.,.,.,1,.,.,.,.,.,.,,,,Erica australis L.,+,.,.,.,.,.,.,,,,,,,,Cytisus grandiflorus (Brot.) DC. subsp. grandiflorus [sub],.,.,.,.,.,.,.,+,1,1
,Cynosurus echinatus L.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,,,,Genista falcata Brot.,+,.,.,.,.,.,.,,,,,,,,Cytisus scoparius (L.) Link subsp. scoparius [sub],.,2,.,.,.,.,.,.,.,.
