,,1,2,3,4,5,6,7,8,9,10,,,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,1,,,,1,2,3,,,,1,,,,1,2,3,4,,,,1,2,3,,,,1,2,3,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,1,2,3,4,5,6,7,,,,1,2,,,,1,2,3,4
,Arctostaphylos uva-ursi (L.) Spreng. [sub],.,.,+,+,.,2,1,1,.,.,,,Prunella grandiflora (L.) Scholler,1,+,.,.,.,.,+,.,+,,,,,,,,,,,,Dactylis glomerata L.,.,.,.,.,.,1,+,.,.,1,.,.,.,.,.,.,.,.,.,.,,,,,,,Pyrus communis L.,.,.,1,,,,,,,Primula elatior (L.) L.,.,.,.,+,,,Genista micrantha Gómez Ortega,2,+,.,,,,,,,,,Quercus pyrenaica Willd.,4,3,4,4,4,3,4,4,4,3,4,4,,,Veronica chamaedrys L.,.,.,+,.,+,.,.,.,.,.,.,.,2,.,.,,,,,,,,,,,,,,,,,m,Thuidium tamariscinum,.,3,.,.
m,Peltigera canina,.,.,+,.,.,.,.,.,.,.,,,Fragaria vesca L.,1,.,1,.,1.2,.,.,+,.,,,,,,,,,,,,Geum urbanum L.,.,.,.,.,+,.,.,.,.,.,+,.,.,.,.,.,.,.,.,+,,,,,,,Stellaria holostea L.,.,.,1,,,,,,,Valeriana pyrenaica L.,+,.,.,.,,,Leucanthemum vulgare Lam.,+,2,.,,,,,,,,,Rosa canina L.,+,+,.,.,.,.,.,.,.,.,.,.,,,Prunus spinosa L.,+,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,m,Pleurozium schreberi,.,3,.,.
,Malus sylvestris (L.) Mill. [sub],.,.,+,.,+,.,.,.,.,.,,,Lotus corniculatus L.,.,.,+,+,.,+,+,.,.,,,,,,,,,,,,Viburnum lantana L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,1,,,,,,,Viola gr. sylvestris Lam. [sub],.,.,1,,,,,,,Carex pendula Huds.,+,.,.,.,,,Jasione montana L.,+,+,.,,,,,,,,,Rosa corymbifera Borkh.,+,.,.,+,.,.,.,.,.,.,.,.,,,Asplenium adiantum-nigrum L.,+,+,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,Quercus petraea (Matt.) Liebl.,.,(+),.,.
,Ajuga reptans L.,.,.,.,+,.,.,.,.,.,.,,,Campanula rapunculus L.,.,.,+,+,.,.,.,+,+,,,,,,,,,,,,Vicia sepium L.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,+,.,.,+,1,,,,,,,,,,,,,,,,,Rhamnus cathartica L.,.,+,.,.,,,Conopodium majus (Gouan) Loret in Loret & Barrandon,+,+,.,,,,,,,,,Rosa micrantha Borrer ex Sm. in Sowerby,.,.,.,1,.,.,.,.,.,.,.,.,,,Hypericum montanum L.,1,+,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,Lathyrus linifolius (Reichard) Bässler [sub],.,+,.,.
,Erica vagans L.,.,.,.,+,2,5,5,2,.,.,,,Genista florida L. [sub],.,.,+,.,+,+,.,.,+,,,,,,,,,,,,Calluna vulgaris (L.) Hull,.,.,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Teucrium scorodonia L.,.,+,.,.,,,Halimium lasianthum (Lam.) Spach subsp. alyssoides (Lam.) Greuter [sub],.,2,2,,,,,,,,,Rubus hirtus Waldst. & Kit.,.,.,+,.,.,.,.,+,.,.,.,.,,,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl subsp. bulbosum (Willd.) Schübl. & Martens [sub],+,.,.,.,.,.,.,.,.,.,.,.,1,.,.,,,,,,,,,,,,,,,,,,Vaccinium myrtillus L.,.,2,.,.
,Asphodelus albus Mill.,.,.,.,1,+,.,.,.,+,2,,,Silene nutans L.,.,.,+,.,1,.,2,+,.,,,,,,,,,,,,Corylus avellana L.,.,.,.,.,+,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Saponaria officinalis L.,.,+,.,.,,,Chamaespartium sagittale (L.) P.E. Gibbs [sub],2,.,.,,,,,,,,,Rumex acetosa L.,.,.,.,.,.,.,.,.,+,.,.,+,,,Limodorum abortivum (L.) Sw.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,2
,Fagus sylvatica L. [sub],.,.,.,+,.,.,.,.,+,.,,,Pimpinella saxifraga L.,.,.,.,.,1,+,1,+,.,,,,,,,,,,,,Genista florida L. [sub],.,.,+,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Helianthemum nummularium (L.) Mill.,.,+,.,.,,,Silene vulgaris (Moench) Garcke,+,.,.,,,,,,,,,Sanicula europaea L.,+,1,2,+,.,.,+,+,.,.,.,.,,,Rosa blondaeana Ripart ex Déségl. [sub],.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,m,¿ Cladonia chlorophaea [sub],2,.,.,.
,Vaccinium myrtillus L.,.,.,.,(+),.,.,.,.,.,.,,,Rosa canina L.,1,1,.,.,.,+,.,+,+,,,,,,,,,,,,Geranium lucidum L.,.,.,.,.,.,.,.,.,.,.,+,1,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Brachypodium pinnatum (L.) P. Beauv. subsp. rupestre (Host) Schübl. & G.Martens [sub],.,+,.,.,,,Polygala vulgaris L.,+,.,.,,,,,,,,,Saponaria ocymoides L.,.,.,.,+,.,.,.,+,.,.,.,.,,,Galium aparine L.,.,1,.,.,.,.,1,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,m,Fissidens taxifolius,2,.,.,.
m,Homalothecium sericeum,.,.,.,2,.,.,.,.,.,.,,,Centaurea nigra L. subsp. carpetana (Boiss. & Reut.) Nyman,1,+,.,.,.,.,+,.,.,,,,,,,,,,,,Origanum vulgare L.,.,.,.,.,.,1,.,.,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Erica cinerea L.,.,+,.,.,,,Astrantia major L.,+,.,.,,,,,,,,,Scrophularia alpestris J. Gay ex Benth.,.,+,.,.,.,.,.,.,.,.,.,.,,,Vicia angustifolia L.,.,1,.,.,.,.,.,.,.,.,.,.,1,.,.,,,,,,,,,,,,,,,,,m,Erythrophyllum rubellum,+,.,.,.
,Cistus laurifolius L.,.,.,.,.,+,.,+,.,.,.,,,Dactylis glomerata L. subsp. glomerata,.,+,.,.,.,1,.,1,.,,,,,,,,,,,,Polypodium vulgare L.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Angelica sylvestris L.,.,+,.,.,,,Orobanche rapum-genistae Thuill.,+,.,.,,,,,,,,,Sedum hirsutum All.,+,+,.,.,.,.,.,+,.,.,.,.,,,Lilium martagon L.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,m,Hymenostomum microstomum,2,.,.,.
,Euphorbia angulata Jacq.,.,.,.,.,+,.,.,.,.,.,,,Bromus erectus Huds.,.,+,.,.,.,.,1,3,.,,,,,,,,,,,,Polystichum aculeatum (L.) Roth,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Salix eleagnos Scop. [sub],.,+,.,.,,,Genista florida L. [sub],.,.,2,,,,,,,,,Silene nutans L.,1,+,+,1,+,.,.,1,.,.,2,1,,,Aquilegia vulgaris L.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,m,Leptobryum pyriforme,2,.,.,.
,Galium mollugo L.,.,.,.,.,+,.,.,.,.,.,,,Trifolium ochroleucon Huds.,.,.,.,1,+,.,1,.,.,,,,,,,,,,,,Castanea sativa Mill.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Frangula alnus Mill.,.,.,+,.,,,Calluna vulgaris (L.) Hull,.,.,2,,,,,,,,,Silene vulgaris (Moench) Garcke,.,+,.,+,.,.,.,+,.,.,.,.,,,Calluna vulgaris (L.) Hull,.,.,+,.,+,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,m,Mnium rostratum,2,.,.,.
,Hypericum pulchrum L.,.,.,.,.,1,+,.,+,.,.,,,Vicia hirsuta (L.) Gray,.,.,.,2,+,.,.,+,.,,,,,,,,,,,,Clinopodium vulgare L.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Stachys officinalis (L.) Trevis. [sub],.,.,+,.,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange subsp. tridentatum [sub],.,.,2,,,,,,,,,Stachys officinalis (L.) Trevis.,.,.,+,.,+,.,.,.,1,.,1,1,,,Lonicera xylosteum L.,.,.,+,.,+,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,Trisetum flaveseens,+,.,.,.
,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,.,1,.,.,.,.,.,,,Galium pumilum Murray subsp. pinetorum (Ehrend.) Vigo [sub],.,.,.,.,.,.,1,1,1,,,,,,,,,,,,Agrostis capillaris L.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Ajuga reptans L.,.,.,+,.,,,Erica umbellata Loefl. ex L.,.,.,2,,,,,,,,,Stellaria holostea L.,1,3,1,1,.,.,.,1,.,1,.,.,,,Malus sylvestris (L.) Mill.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,Poa pratensis L.,2,.,.,.
,Genista tinctoria L.,.,.,.,.,+,.,.,.,.,.,,,Polygala vulgaris L.,.,.,.,.,.,.,+,1,+,,,,,,,,,,,,Epipactis helleborine (L.) Crantz,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Geranium robertianum L.,.,.,+,.,,,Erythronium dens-canis L.,.,.,+,,,,,,,,,Teucrium scorodonia L.,1,2,.,3,1,+,.,1,1,.,+,.,,,Rosa corymbifera Borkh.,.,.,+,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,Poa angustifolia L.,2,.,.,.
,Stachys officinalis (L.) Trevis.,.,.,.,.,+,.,+,1,.,.,,,Laserpitium latifolium L.,1,1,.,.,.,.,.,.,.,,,,,,,,,,,,Ruscus aculeatus L.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Ornithogalum pyrenaicum L.,.,.,.,+,,,,,,,,,,,,,,,Thymelaea ruizii Loscos,.,.,.,.,.,+,.,.,.,2,.,+,,,Euonymus europaeus L.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,Rubus ulmifolius Schott,+,.,.,.
,Genista hispanica L. subsp. occidentalis Rouy,.,.,.,.,+,.,.,.,.,.,,,Lathyrus linifolius (Reichard) Bässler,2,1,.,.,.,.,.,.,.,,,,,,,,,,,,Digitalis purpurea L.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Cardamine raphanipholia,.,.,.,+,,,,,,,,,,,,,,,Trifolium medium L.,.,.,.,.,.,+,+,1,.,.,.,.,,,Festuca gr. paniculata (L.) Schinz & Thell. [sub],.,.,.,+,.,+,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,Bituminaria bituminosa (L.) C.H. Stirt. [sub],2,.,.,.
,Serratula tinctoria L. subsp. seoanei (Willk.) Lange,.,.,.,.,+,.,.,.,.,.,,,Stachys officinalis (L.) Trevis.,1,+,.,.,.,.,.,.,.,,,,,,,,,,,,Cistus salviifolius L. [sub],.,.,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Carex caudata (Kük.) Pereda & M. Laínz,.,.,.,+,,,,,,,,,,,,,,,Trifolium ochroleucon Huds.,.,.,.,1,1,.,.,.,.,.,.,.,,,Tanacetum corymbosum (L.) Sch. Bip.,.,.,.,+,.,.,+,.,.,.,.,+,.,.,.,,,,,,,,,,,,,,,,,,Cruciata glabra (L.) Ehrend. [sub],+,.,.,.
,Frangula alnus Mill. [sub],.,.,.,.,+,.,.,.,+,.,,,Viburnum lantana L.,+,1,.,.,.,.,.,.,.,,,,,,,,,,,,Genista scorpius (L.) DC. in Lam. & DC.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Filipendula ulmaria (L.) Maxim.,.,.,.,+,,,,,,,,,,,,,,,Trifolium pratense L.,.,+,+,.,.,.,.,.,.,.,.,.,,,Rhamnus cathartica L. [sub],.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,m,Peltigera aphthosa,.,2,.,.
,Sedum forsterianum Sm. in Sowerby,.,.,.,.,.,+,.,+,.,.,,,Pimpinella siifolia Leresche,+,+,.,.,.,.,.,.,.,,,,,,,,,,,,Quercus faginea Lam.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Fragaria vesca L.,.,.,.,+,,,,,,,,,,,,,,,Trifolium rubens L.,.,.,.,.,.,.,.,.,.,+,.,.,,,Teucrium chamaedrys L.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,m,Scleropodium purum,.,3,.,.
,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,.,.,.,.,+,.,.,.,.,,,Rosa corymbifera Borkh.,+,+,.,.,.,.,.,.,.,,,,,,,,,,,,Campanula rapunculus L.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Astrantia major L.,.,.,.,+,,,,,,,,,,,,,,,Trisetum flavescens (L.) P. Beauv.,.,.,.,.,.,.,.,.,2,.,2,1,,,Cytisus scoparius (L.) Link,.,.,.,+,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,,,,,,,m,Hylocomium splendens,.,4,.,.
,Primula veris L.,.,.,.,.,.,(+),.,.,+,.,,,Galium helodes Hoffmanns. & Link,+,+,.,.,.,.,.,.,.,,,,,,,,,,,,Rosa pimpinellifolia L.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,Polypodium vulgare L.,.,.,.,+,,,,,,,,,,,,,,,Veronica officinalis L.,1,.,+,.,.,.,1,1,1,.,.,.,,,Fraxinus excelsior L.,.,.,.,.,+,.,.,.,.,.,.,.,+,.,.,,,,,,,,,,,,,,,,,,Asplenium adiantum-nigrum L.,.,+,.,.
,Aira caryophyllea L.,.,.,.,.,.,.,+,.,.,.,,,Rhamnus cathartica L.,.,+,.,.,+,.,.,.,.,,,,,,,,,,,,Salix atrocinerea Brot.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viola canina L. [sub],.,.,.,.,.,.,.,.,2,.,.,2,,,Ulmus glabra Huds.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,Brachypodium pinnatum (L.) P. Beauv.,.,3,.,.
,Carex caryophyllea Latourr.,.,.,.,.,.,.,+,+,.,.,,,Ligustrum vulgare L.,.,+,.,.,.,.,.,+,.,,,,,,,,,,,,Viburnum lantana L.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],3,2,3,2,1,+,1,2,1,.,2,3,,,Holcus lanatus L.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,Arenaria montana L. subsp. intricata (Ser.) Pau [sub],.,2,.,.
,Ranunculus bulbosus L.,.,.,.,.,.,.,+,.,.,.,,,Euonymus europaeus L.,.,+,.,.,.,.,.,.,+,,,,,,,,,,,,Urtica dioica L.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaccinium myrtillus L.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,¿ Ranunculus tuberosus Lapeyr. [sub],.,+,.,.
,Potentilla sterilis (L.) Garcke,.,.,.,.,.,.,+,+,.,.,,,Carex muricata L. subsp. pairaei (F. Schultz) Asch. & Graebn. [sub],.,.,+,.,1,.,.,.,.,,,,,,,,,,,,Hypericum perforatum L.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,¿ Viola sylvestris Lam. subsp. riviniana (Rchb.) Tourlet [sub],.,+,.,.
,Festuca ovina L.,.,.,.,.,.,.,+,.,.,.,,,Prunella vulgaris L.,.,.,+,.,.,.,.,+,.,,,,,,,,,,,,Veronica montana L.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stachys officinalis (L.) Trevis.,.,.,.,.,.,.,.,.,+,.,1,.,.,1,.,,,,,,,,,,,,,,,,,,Seseli cantabricum Lange,.,+,.,.
,Clinopodium vulgare L. [sub],.,.,.,.,.,.,+,.,.,.,,,Cruciata laevipes Opiz,.,.,+,.,.,.,.,.,1,,,,,,,,,,,,Rumex acetosa L.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prunella grandiflora (L.) Scholler,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,Calluna vulgaris (L.) Hull,.,2,.,.
,Prunella vulgaris L.,.,.,.,.,.,.,.,+,.,.,,,Thymus praecox Opiz subsp. britannicus (Ronniger) J. Holub [sub],.,.,.,+,.,+,.,.,.,,,,,,,,,,,,Cruciata glabra (L.) Ehrend.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sorbus aucuparia L.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,Galium pumilum Murray,.,+,.,.
,Trifolium pratense L.,.,.,.,.,.,.,.,1,.,.,,,Vicia parviflora Cav.,.,.,.,+,.,.,.,+,.,,,,,,,,,,,,Luzula sylvatica (Huds.) Gaudin subsp. henriquesii (Degen) P.Silva [sub],.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosa squarrosa (A. Rau) Boreau [sub],.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,,,,,,,,,,,,,,,,,,Hieracium murorum L.,.,1,.,.
m,Bryopsida sp.,.,.,.,.,.,.,.,3,.,.,,,Helianthemum nummularium (L.) Mill.,.,.,.,.,1,.,.,2,.,,,,,,,,,,,,Ranunculus tuberosus Lapeyr.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cistus laurifolius L.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,Rubus sp.,.,.,2,.
,Rumex acetosa L.,.,.,.,.,.,.,.,+,.,.,,,Trifolium medium L.,.,.,.,.,+,.,.,.,+,,,,,,,,,,,,Symphytum tuberosum L.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serratula tinctoria L.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,Picris hieracioides L. subsp. longifolia (Boiss. & Reut.) P.D.Sell [sub],.,.,+,.
,Ranunculus acris L. subsp. despectus M. Laínz [sub],.,.,.,.,.,.,.,+,.,.,,,Trifolium pratense L.,.,.,.,.,.,.,1,+,.,,,,,,,,,,,,Hypericum montanum L.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asphodelus aestivus Brot.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,Hieracium lachenalii Suter s.l.,.,.,1,.
,Myosotis ramosissima Rochel in Schult. [sub],.,.,.,.,.,.,.,+,.,.,,,Lathyrus aphaca L.,.,.,.,.,.,.,+,+,.,,,,,,,,,,,,Viscum album L.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geranium sanguineum L.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,,,,,,,,Silene nutans L.,.,.,+,.
,Cephalanthera longifolia (L.) Fritsch,.,.,.,.,.,.,.,.,+,.,,,Erica australis L. [sub],.,.,.,.,.,.,+,+,.,,,,,,,,,,,,Galium odoratum (L.) Scop.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quercus rotundifolia Lam.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,,,,,,,,Saponaria officinalis L.,.,.,+,.
,Galium aparine L.,.,.,.,.,.,.,.,.,+,.,,,Coronilla minima L.,.,.,.,.,.,.,+,+,.,,,,,,,,,,,,Agrostis capillaris L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cistus salviifolius L.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,,,,,,,,Succisa pratensis Moench,.,.,1,.
,Geranium lucidum L.,.,.,.,.,.,.,.,.,+,.,,,Leontodon hispidus L.,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,Carex flacca Schreb.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dianthus carthusianorum L. [sub],.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,,,,,,,,,,,,,,,,,,Lapsana communis L.,.,.,r,.
,Geranium robertianum L.,.,.,.,.,.,.,.,.,1,.,,,Iris latifolia (Mill.) Voss,+,.,.,.,.,.,.,.,.,,,,,,,,,,,,Malus sylvestris (L.) Mill.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platanthera bifolia (L.) Rich.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,,,,,,,,,,,,,,,,,,Hieracium sabaudum L.,.,.,+,.
,Ligustrum vulgare L.,.,.,.,.,.,.,.,.,+,+,,,Ribes petraeum Wulfen,1,.,.,.,.,.,.,.,.,,,,,,,,,,,,Circaea lutetiana L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubus plicatus Weihe & Nees [sub],.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,,,,,,,,,,,,,,,,,,Hieracium sp.,.,.,+,.
,Urtica dioica L.,.,.,.,.,.,.,.,.,+,.,,,Cirsium pannonicum (L. fil.) Link,1,.,.,.,.,.,.,.,.,,,,,,,,,,,,Urtica dioica L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rumex acetosa L.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,,,,,,,,,,,,,,,,,,,,,,
,Rubus idaeus L.,.,.,.,.,.,.,.,.,+,.,,,Rosa pimpinellifolia L.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,Ribes alpinum L.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amelanchier ovalis Medik.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,,,,,,,,,,,,,,,,,,,,,,
,Cruciata laevipes Opiz [sub],.,.,.,.,.,.,.,.,+,1,,,Geranium robertianum L.,.,+,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quercus Xpyrenaica_X_petraea,.,.,.,.,.,.,.,.,+,+,,,Lapsana communis L.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhamnus cathartica L.,.,.,.,.,.,.,.,.,.,+,,,Geum urbanum L.,.,.,+,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sanicula europaea L.,.,.,.,.,.,.,.,.,.,+,,,Sedum amplexicaule DC.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dryopteris filix-mas (L.) Schott,.,.,.,.,.,.,.,.,.,+,,,Plantago lanceolata L.,.,.,.,+,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
