,,1,2,3,4,5,6,,,,1,,,,1,2,3,4,5,6,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Coronilla valentina L. subsp. glauca (L.) Batt. in Batt. & Trab. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Ceratonia siliqua L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Euphorbia characias L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Quercus rotundifolia Lam.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Viburnum tinus L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Scilla monophyllos Link,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,Quercus suber L.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,Hyacinthoides hispanica (Mill.) Rothm.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Paeonia broteri Boiss. & Reut. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Ruscus aculeatus L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Phillyrea latifolia L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Rosa sempervirens L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Carex distachya Desf.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Lavandula pedunculata Cav. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Cistus ladanifer L. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Genista hirsuta Vahl,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Genista polyanthos R. Roem. ex Willk.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Crataegus monogyna Jacq. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Cistus albidus L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Teucrium lusitanicum Schreb.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Euphorbia nicaeensis All. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Ulex airensis Espírito Santo & al.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Teucrium capitatum L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Thymus zygis Loefl. ex L. subsp. sylvestris (Hoffmanns. & Link) Cout. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Salvia sclareoides Brot.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Genista tounefortii,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Serratula baetica Boiss. ex DC. subsp. lusitanica Cantó [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Cheirolophus sempervirens (L.) Pomel,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Silene longicilia (Brot.) Otth,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Antirrhinum majus L. subsp. linkianum (Boiss. & Reut.) Rothm. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Ulex jussiaei Webb,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Jurinea humilis (Desf.) DC. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Erica scoparia L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Halimium lasianthum (Lam.) Spach,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Thymus villosus L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Nepa boivinii (Webb) Webb [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Ulex argenteus Welw. ex Webb,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Drosophyllum lusitanicum (L.) Link,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Serratula algarbiensis,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al. [sub],1,+,2
,,,,,,,,,,,,,,,,,,,,,,,,Halimium calycinum (L.) K. Koch,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,Halimium halimifolium (L.) Willk. in Willk. & Lange,+,.,1
,,,,,,,,,,,,,,,,,,,,,,,,Thymus capitellatus Hoffmanns. & Link,.,+,+
,,,,,,,,,,,,,,,,,,,,,,,,Euphorbia boetica Boiss. [sub],+,1,.
,,,,,,,,,,,,,,,,,,,,,,,,Helichrysum italicum (Roth) G. Don in Loudon subsp. serotinum (Boiss.) P. Fourn. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Urginea fugax (Moris) Steinh. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Cistus salviifolius L. [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Cistus monspeliensis L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Rosmarinus officinalis L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Thapsia villosa L.,.,+,.
,,,,,,,,,,,,,,,,,,,,,,,,Tamus communis L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Elaeoselinum phoetidum,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Lithodora prostrata (Loisel.) Griseb. subsp. lusitanica (Samp.) Valdés. [sub],+,+,.
,,,,,,,,,,,,,,,,,,,,,,,,Calluna vulgaris (L.) Hull,+,+,+
,,,,,,,,,,,,,,,,,,,,,,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Ferula communis L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Cistus crispus L.,.,.,+
,,,,,,,,,,,,,,,,,,,,,,,,Phagnalon saxatile (L.) Cass.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Celtica gigantea (Link) J.M. Vázquez & Barkworth [sub],+,2,+
,,,,,,,,,,,,,,,,,,,,,,,,Pterospartum tridentatum (L.) Willk. in Willk. & Lange,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Geranium purpureum Vill.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Saxifraga granulata L.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Calamintha nepeta (L.) Savi subsp. nepeta [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Origanum virens Hoffmanns. & Link,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Retama sphaerocarpa (L.) Boiss.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Brachypodium phoenicoides (L.) Roem. & Schult.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Carex halleriana Asso [sub],.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,Erica major,.,1,+
,,,,,,,,,,,,,,,,,,,,,,,,Erica australis L.,.,.,.
