,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,7,8,9,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,,,,1,2,3,4,,,,1,2,3,,,,1,2,3,4,5,6,,,,1,2,3,4,5,6,7,8,9,10,,,,1,2,3,4,5,6,7,8,9,10,11,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,1,2,3,4,5,6,7,8,9,10,11
,Ruscus aculeatus L.,2,2,1,2,.,1,.,.,.,,,Ruscus aculeatus L.,1,1,1,1,.,1,.,.,.,,,Cistus salviifolius L.,1,+,+,1,1,+,1,+,.,+,.,.,,,Paeonia broteri Boiss. & Reut. [sub],.,.,+,.,.,+,,,Quercus canariensis Willd.,+,.,.,.,,,Cistus salviifolius L. [sub],.,2,1,,,Asparagus acutifolius L.,.,.,.,.,1,.,,,Digitalis thapsi L.,1,1,+,.,.,.,.,1,1,+,,,Tanacetum corymbosum (L.) Sch. Bip.,.,.,.,.,.,.,.,.,1,+,1,,h,Carduus tenuiflorus Curtis,r,.,.,.,.,.,.,.,.,.,.,.,,,Lonicera periclymenum L. subsp. hispanica (Boiss. & Reut.) Nyman [sub],.,.,.,.,.,.,.,.,+,1,1
,Daphne gnidium L.,.,1,1,1,.,+,1,1,+,,,Daphne gnidium L.,.,1,1,1,.,+,1,1,+,,,Origanum virens Hoffmanns. & Link,.,.,+,1,.,1,1,+,.,+,1,1,,,Quercus suber L.,.,.,1,.,.,.,,,Poa trivialis L.,+,.,.,.,,,Agrimonia eupatoria L.,.,+,1,,,Phillyrea angustifolia L.,.,.,.,.,1,.,,,Olea europaea L. subsp. sylvestris (Mill.) Hegi [sub],.,.,2,2,2,1,2,.,1,.,,,Lathyrus niger (L.) Bernh.,.,.,.,.,.,.,.,.,1,1,.,,h,Carex distachya Desf.,.,.,.,.,.,.,+,.,.,.,.,.,,,Asparagus acutifolius L.,+,.,.,.,.,.,.,.,.,.,.
,Rubia peregrina L.,.,1,1,2,1,+,.,1,+,,,Rubia peregrina L.,.,1,1,1,1,+,.,1,+,,,Agrostis castellana Boiss. & Reut.,1,+,.,1,1,.,1,.,+,+,1,.,,,Pteridium aquilinum (L.) Kuhn in Kerst.,.,.,.,.,+,.,,,Brachypodium sylvaticum (Huds.) P. Beauv. subsp. sylvaticum [sub],+,.,.,.,,,Pyrus bourgaeana Decne.,+,.,.,,,Sambucus nigra L. subsp. nigra,.,1,.,.,.,.,,,Smilax aspera L.,2,1,.,.,2,.,1,.,.,2,,,Dictamnus albus L.,.,.,.,.,.,.,.,+,1,.,.,,h,Carlina corymbosa L.,.,.,.,.,.,.,.,.,r,.,.,.,,,Digitalis thapsi L.,+,.,.,.,.,.,.,.,.,.,.
,Viburnum tinus L.,1,1,.,.,.,.,.,.,.,,,Viburnum tinus L.,1,1,.,.,.,.,.,.,.,,,Cytisus striatus (Hill) Rothm. [sub],1,+,.,.,2,1,+,.,2,.,.,.,,,Teucrium fruticans L.,.,.,+,.,.,.,,,Smilax aspera L. [sub],.,+,.,.,,,Rosmarinus officinalis L.,+,.,.,,,Bryonia dioica Jacq.,.,+,.,.,.,.,,,Arbutus unedo L.,1,2,.,.,1,1,1,.,.,.,,,Conopodium marianum Lange [sub],.,.,.,.,.,.,1,.,.,+,.,,a,Castanea sativa Mill.,.,.,.,.,.,.,.,.,.,.,r,.,,,Galium parisiense L.,1,.,.,.,.,.,.,.,.,.,.
,Quercus suber L.,.,.,.,.,.,+,+,.,.,,,Quercus suber L.,.,.,.,.,.,+,+,.,.,,,Halimium ocymoides (Lam.) Willk. in Willk. & Lange,1,+,.,2,+,.,+,.,.,2,.,.,,,Lavandula stoechas L. subsp. luisieri (Rozeira) Rozeira [sub],+,.,.,.,.,.,,,Jasione montana L.,.,+,.,.,,,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman,+,.,.,,,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman,.,.,.,+,.,.,,,Campanula rapunculus L.,1,1,2,1,1,.,.,.,.,.,,,Castanea sativa Mill.,.,.,.,.,.,.,+,1,.,.,.,,h,Centaurea cordubensis Font Quer,.,.,.,.,.,.,.,.,r,.,.,.,,,Mentha suaveolens Ehrh.,1,.,.,.,.,.,.,.,.,.,.
,Juniperus oxycedrus L.,.,.,.,.,.,.,.,2,4,,,Juniperus oxycedrus L.,.,.,.,.,.,.,.,2,3,,,Cistus ladanifer L. [sub],+,.,.,.,.,.,.,+,1,+,+,+,,,Cistus salviifolius L. [sub],.,.,+,.,.,.,,,Agrostis curtisii Kerguélen,.,.,+,.,,,Origanum virens Hoffmanns. & Link,.,+,.,,,Crepis lampsanoides (Gouan) Tausch,.,.,.,+,.,.,,,Prunus spinosa L.,.,.,2,2,.,4,.,3,.,1,,,Epipactis helleborine (L.) Crantz,.,.,.,.,.,.,.,1,.,1,.,,h,Centranthus calcitrapae (L.) Dufr.,.,.,.,.,.,.,.,.,.,.,.,r,,,Olea europaea L.,+,.,.,.,.,.,.,.,.,.,.
,Erica arborea L.,1,.,.,.,.,.,.,2,.,,,Erica arborea L.,1,.,.,.,.,.,.,1,.,,,Tamus communis L.,.,1,+,+,.,1,+,.,+,.,.,2,,,Halimium ocymoides (Lam.) Willk. in Willk. & Lange,.,.,.,.,+,.,,,Cistus major,.,.,+,.,,,Brachypodium sylvaticum (Huds.) P. Beauv.,.,.,1,,,Laurus nobilis L.,.,+,.,.,.,.,,,Cistus psilosepalus Sweet,3,3,.,.,.,.,.,.,2,1,,,Polygonatum odoratum (Mill.) Druce,.,.,.,.,.,.,.,.,1,1,.,,h,Cephalanthera longifolia (L.) Fritsch,.,.,.,.,.,.,.,.,.,.,(+),.,,,Phagnalon saxatile (L.) Cass.,+,.,.,.,.,.,.,.,.,.,.
,Asplenium onopteris L.,1,1,.,1,.,.,.,.,.,,,Asplenium onopteris L.,1,1,.,1,.,.,.,.,.,,,Erica australis L.,1,+,.,1,+,.,+,.,.,.,.,.,,,,,,,,,,,,Erica scoparia L.,.,.,+,.,,,Quercus rotundifolia Lam.,.,.,+,,,Prunus avium L.,.,+,.,.,.,.,,,Sanguisorba hybrida (L.) Font Quer,2,2,.,.,.,.,.,.,1,1,,,Rubia peregrina L.,2,2,2,2,2,2,3,1,1,.,2,,h,Cerastium glomeratum Thuill.,.,r,.,.,.,.,.,.,.,.,.,.,,,Rumex scutatus L. subsp. induratus (Boiss. & Reut.) Nyman [sub],1,.,.,.,.,.,.,.,.,.,.
,Doronicum plantagineum L.,1,.,.,.,.,.,1,.,.,,,Doronicum plantagineum L.,1,.,.,.,.,.,1,.,.,,,Crataegus monogyna Jacq.,1,+,+,1,.,.,+,.,.,.,.,.,,,"Cano, Eusebio & Valle, Francisco 1990 Formaciones boscosas en Sierra Morena Oriental (Andalucía, España). Acta Bot. Malacitana, 15:231-237. T.003",,,,,,,,,Nepa boivinii (Webb) Webb [sub],.,.,+,.,,,,,,,,,Quercus faginea Lam. subsp. faginea,.,+,.,.,.,.,,,Asparagus aphyllus L.,.,.,1,1,.,1,1,.,.,.,,,Daphne gnidium L.,1,1,1,1,+,1,1,+,.,1,1,,a,Cistus albidus L.,.,.,.,.,.,.,.,.,.,(+),.,.,,,Silene latifolia Poir.,1,.,.,.,.,.,.,.,.,.,.
,Carex distachya Desf.,.,.,.,.,1,.,.,1,.,,,Carex distachya Desf.,.,.,.,.,1,.,.,1,.,,,Rubus ulmifolius Schott,1,.,+,1,1,.,+,.,.,#ERROR!,.,.,,,,,,,,,,,,Genista tridens (Cav.) DC.,.,.,+,.,,,"Melendo Luque, M. 1998 Cartografía y ordenación vegetal de Sierra Morena: Parque Natural de las Sierras de Cardeña y Montoro (Córdoba). Tesis Doct. Universidad Jaén 616 T.089",,,,,a,Quercus robur L. [sub],.,.,+,.,.,.,,,Ulex australis Clemente subsp. welwitschianus (Planch.) Espírito Santo & al. [sub],.,.,.,.,1,1,2,.,3,.,,,Ruscus aculeatus L.,2,2,1,1,2,3,.,1,.,.,.,,a,Cistus crispus L.,.,.,.,.,.,.,.,.,.,r,.,r,,,Thapsia villosa L.,1,.,.,.,.,.,.,.,.,.,.
,Paeonia broteri Boiss. & Reut. [sub],.,1,1,.,.,.,.,.,.,,,Paeonia broteri Boiss. & Reut. [sub],.,1,1,.,.,.,.,.,.,,,Pinus pinaster Aiton,+,+,2,2,.,+,.,.,.,.,.,.,,,,,,,,,,,,Allium scorzonerifolium Desf. ex DC. in Redouté,.,.,+,.,,,,,,,,,Ranunculus ollissiponensis Pers. subsp. ollissiponensis,.,.,.,+,.,.,,,Rhamnus alaternus L.,2,.,.,.,2,2,.,.,.,.,,,Carex distachya Desf.,.,.,+,1,1,1,1,.,.,2,.,,a,Cistus ladanifer L.,.,+,.,.,+,1,.,.,(+),2,.,.,,,Umbilicus rupestris (Salisb.) Dandy in Ridd. & al.,+,.,.,.,.,.,.,.,.,.,.
,Cephalanthera longifolia (L.) Fritsch,.,.,1,.,.,.,.,.,.,,,Cephalanthera longifolia (L.) Fritsch,.,.,1,.,.,.,.,.,.,,,Calamintha nepeta (L.) Savi,.,+,.,.,1,1,2,.,.,.,.,+,,,,,,,,,,,,Cynosurus echinatus L.,.,.,+,.,,,,,,,,,Stellaria holostea L.,.,.,.,.,.,+,,,Elaeoselinum foetidum (L.) Boiss.,1,.,1,1,.,.,.,.,.,.,,,Quercus rotundifolia Lam.,1,1,+,.,.,+,+,.,.,.,.,,a,Cistus populifolius L.,.,.,.,.,.,.,r,.,1,.,3,.,,,Verbascum dentifolium Delile [sub],+,.,.,.,.,.,.,.,.,.,.
,Quercus rotundifolia Lam.,.,.,.,+,.,.,.,.,.,,,Quercus rotundifolia Lam.,.,.,.,+,.,.,.,.,.,,,Conopodium marianum Lange [sub],.,+,1,2,+,.,.,.,.,.,+,.,,,,,,,,,,,,Senecio lopezii Boiss.,.,.,.,+,,,,,,,,,Pteridium aquilinum (L.) Kuhn in Kerst. [sub],+,+,3,4,.,1,,,Trifolium pratense L.,1,.,.,.,2,.,.,.,.,2,,,Pistacia terebinthus L.,2,2,.,.,.,1,.,.,.,.,.,,a,Cistus salviifolius L.,.,.,.,.,.,.,.,.,.,1,.,r,,,Carex depressa Link,.,1,.,.,.,.,.,.,.,.,.
,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus,.,.,.,+,.,.,.,.,.,,,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus,.,.,.,+,.,.,.,.,.,,,Rosa micrantha Borrer ex Sm. in Sowerby,.,+,+,.,1,+,1,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,Cistus psilosepalus Sweet,+,.,+,+,+,.,,,Rosa canina L.,.,.,.,2,2,.,.,.,.,2,,,Quercus Xwelwitschii Samp. [sub],1,1,1,.,.,.,.,.,.,.,.,,h,Clinopodium vulgare L.,.,.,.,.,.,.,.,.,r,.,.,r,,,Cynosurus echinatus L.,.,1,.,.,.,.,.,.,.,.,.
,Biarum tenuifolium (L.) Schott,.,.,.,.,2,.,.,.,.,,,Biarum tenuifolium (L.) Schott,.,.,.,.,+,.,.,.,.,,,Sanguisorba verrucosa (Link ex G. Don) Ces.,.,.,.,.,1,+,2,.,.,.,+,1,,,,,,,,,,,,,,,,,,,,,,,,,Rubus ulmifolius Schott,.,.,2,+,.,1,,,Dorycnopsis gerardi (L.) Boiss.,.,.,.,.,2,2,.,.,.,1,,,Arbutus unedo L.,.,.,.,.,.,+,2,+,1,.,1,,h,Conopodium arvense (Coss.) Calest. [sub],.,.,r,.,.,.,.,.,.,.,.,.,,,Dactylis glomerata L. subsp. hispanica (Roth) Nyman,.,+,.,.,.,.,.,.,.,.,.
