Taxonomia atual,1,2,3
"Neotinea lactea (Poir.) R.M.Bateman, Pridgeon & M.W.Chase",Orchis lactea Poir.,,
Neotinea maculata (Desf.) Stearn,,,
Neottia ovata (L.) Bluff & Fingerh.,Listera ovata (L.) R.Br.,,
Nepeta multibracteata Desf.,,,
Nepeta tuberosa L.,,,
Nerium oleander L.,,,
Nogopterium gracile (Hedw.) Crosby & W.R.Buck,Pterogonium ornithopodioides,,
Nothobartsia asperrima (Link) Benedí & Herrero,,,
"Odontarrhena serpyllifolia (Desf.) Španiel, Al-Shehbaz, D.A.German & Marhold",Alyssum serpyllifolium Desf.,,
Odontites vernus (Bellardi) Dumort.,Odontites verna (Bellardi) Dumort.,,
Oenanthe crocata L.,,,
Oenanthe pimpinelloides L.,,,
Oeosporangium hispanicum (Mett.) Fraser-Jenk. & Pariyar,,,
Oeosporangium pteridioides subsp. acrosticum (Balb.) Fraser-Jenk. & Pariyar,Oeosporangium acrosticum (Balb.) L. Sáez & P. Aymerich,,
Olea europaea L.,,,
Olea europaea L.,Olea europaea L. subsp. sylvestris (Mill.) Hegi,,
Olea europaea L.,Olea europaea var. silvestris,,
Olea europaea L.,Olea europea subsp. sylvestris,,
Olea europaea L.,Olea europea var. sylvestris,,
Oloptum miliaceum (L.) Röser & Hamasha,Piptatherum miliaceum (L.) Coss.,,
Omphalodes nitida (Willd.) Hoffmanns & Link,,,
Onobrychis humilis (Loefl.) G. López,,,
Onobrychis humilis subsp. humilis,Onobrychis humilis (Loefl.) G. López subsp. humilis,,
Ononis mitissima L.,,,
Ononis spinosa L.,Ononis gr. spinosa L.,,
Ophrys speculum subsp. lusitanica O.Danesch & E.Danesch,Ophrys vernixia Brot.,,
Ophrys tenthredinifera Willd.,Ophrys tentredinifera,,
Orchis anthropophora (L.) All.,,,
Orchis mascula (L.) L.,,,
Orchis mascula subsp. laxifloriformis Rivas Goday & B.Rodr.,Orchis langei K. Richt.,,
Orchis simia Lam.,,,
Orchis sp.,,,
Origanum sp.,,,
Origanum vulgare L.,Origanum vulgare L. subsp. virens (Hoffmanns. & Link) Ietsw.,,
Origanum vulgare subsp. virens (Hoffmanns. & Link) Ietsw.,Origanum virens Hoffmanns. & Link,,
Ornithogalum baeticum Boiss.,Ornithogalum orthophyllum Ten. subsp. baeticum (Boiss.) Zahar.,,
Ornithogalum broteroi M. Laínz,,,
Ornithogalum concinnum Salisb.,Ornithogalum concinum,,
Ornithogalum narbonense L.,,,
Ornithogalum pyrenaicum L.,Ornithogalum pyrenaicum L. subsp. pyrenaicum,,
Ornithogalum pyrenaicum L.,Ornitogalum pyrenaicum,,
Ornithogalum umbellatum L.,,,
Ornithopus compressus L.,,,
Ornithopus perpusillus L.,,,
Ornithopus pinnatus (Mill.) Druce,,,
Orobanche gracilis Sm.,,,
Orobanche hederae Duby,Orobanche hederae Vaucher ex Duby,,
Orobanche minor Sm.,Orobanche minor Sm. in Sowerby,,
Orobanche rapum-genistae Thuill.,,,
Orobanche rapum-genistae Thuill.,Orobanche rapum-genistae+,,
Orobanche rapum-genistae Thuill.,Orobanche raput-genistae,,
Orobanche sp.,,,
Osmunda regalis L.,,,
Osyris alba L.,,,
Osyris lanceolata Hochst. & Steud.,Osyris lanceolada,,
Osyris quadripartita Salzm. ex Decne.,,,
Oxalis acetosella L.,,,
Oxalis pes-caprae L.,Oxalis pes-caprea,,
Paeonia broteroi Boiss. & Reut.,Paeonia broteri Boiss. & Reut.,,
Paeonia officinalis subsp. microcarpa (Boiss. & Reut.) Nyman,Paeonia officinalis L. subsp. microcarpa (Boiss. & Reut.) Nyman,,
Papaver dubium L.,,,
"Parapimpinella siifolia (Leresche) Fern.Prieto, Sanna & Arjona",Pimpinella siifolia Leresche,,
Parietaria judaica L.,,,
Parietaria lusitanica L.,,,
Patzkea durandoi (Clauson) G.H.Loos,Festuca paniculata (L.) Schinz & Thell. subsp. durandoi (Clauson) Emb. & Maire,,
Patzkea paniculata (L.) G.H.Loos,Festuca gr. paniculata (L.) Schinz & Thell.,,
Patzkea paniculata (L.) G.H.Loos,Festuca paniculata (L.) Schinz & Thell.,,
"Patzkea paniculata subsp. paniculata (L.) G.H.Loos, 2010",Festuca paniculata (L.) Schinz & Thell. subsp. multispiculata Rivas Ponce & Cebolla,,
Pedicularis sylvatica subsp. lusitanica (Hoffmanns. & Link) Cout.,Pedicularis sylvatica L. subsp. lusitanica (Hoffmanns. & Link) Cout.,,
Peltigera aphthosa (L.) Willd.,Peltigera aphthosa,,
Peltigera canina (L.) Willd.,Peltigera canina,,
Peltigera rufescens (Weiss) Humb.,Peltigera rufescens,,
Pentaglottis sempervirens (L.) L. H. Bailey,,,
Periballia involucrata (Cav.) Janka,,,
Petrorhagia prolifera (L.) P.W. Ball & Heywood,,,
"Petrosedum amplexicaule subsp. amplexicaule (DC.) Velayos, 1988",Sedum amplexicaule DC.,,
"Petrosedum amplexicaule subsp. amplexicaule (DC.) Velayos, 1988",Sedum amplexicaule DC. subsp. amplexicaule,,
Petrosedum forsterianum (Sm.) Grulich,Sedum forsterianum Sm. in Sowerby,Sedum foresteranum,
Petrosedum rupestre subsp. rupestre,Sedum rupestre L.,,
Petrosedum sediforme subsp. sediforme,Sedum sediforme (Jacq.) Pau,,
Petroselinum crispum (Mill.) Fuss,,,
"Petroselinum crispum subsp. crispum (Mill.) Fuss, 1866",Petroselinum crispum (Mill.) A.W. Hill,,
Peucedanum gallicum Latourr.,,,
Peucedanum lancifolium Hoffmanns. & Link ex Lange,,,
Phagnalon saxatile (L.) Cass.,,,
Phagnalon saxatile (L.) Cass.,Phagnalon saxatilis,,
Phalacrocarpum oppositifolium (Brot.) Willk.,Phalacrocarpum oppositifolium (Brot.) Willk. subsp. oppositifolium,,
Phalaris arundinacea L.,,,
Phalaris coerulescens Desf.,Phalaris caerulescens Desf.,,
Phillyrea angustifolia L.,Phillyraea angustifolia,,
Phillyrea latifolia L.,Phillyrea medianifolia Sennen,,
Phleum phleoides (L.) H. Karst.,,,
Phleum pratense L.,,,
Phlomis herba-venti L.,,,
Phlomis lychnitis L.,,,
Phlomis purpurea L.,,,
Phonus arborescens (L.) G. López,,,
Phragmites australis (Cav.) Trin. ex Steud.,,,
Physospermum cornubiense (L.) DC.,Physospermum aquilegifolium,,
Physospermum cornubiense (L.) DC.,,,
Picris hieracioides L.,,,
Picris hieracioides subsp. longifolia (Boiss. & Reut.) P.D.Sell,Picris hieracioides L. subsp. longifolia (Boiss. & Reut.) P.D.Sell,,
Pilosella castellana (Boiss. & Reut.) F.W.Schultz & Sch.Bip.,Hieracium castellanum Boiss. & Reut.,,
"Pilosella officinarum F.W.Schultz & Sch.Bip., 1862",Pilosella gr. officinarum F.W.Schultz & Sch. Bip.,,
"Pilosella officinarum F.W.Schultz & Sch.Bip., 1862",Pilosella officinarum F.W.Schultz & Sch. Bip.,,
Pilosella pseudopilosella (Ten.) Soják,,,
Pimpinella saxifraga L.,,,
Pimpinella villosa Schousb.,,,
Pinus halepensis Mill.,,,
Pinus pinaster Aiton,,,
Pinus pinea L.,,,
Pinus radiata D. Don,,,
Pinus sylvestris L.,,,
Pistacia lentiscus L.,,,
Pistacia terebinthus L.,,,
Pittosporum undulatum Vent.,,,
"Plagiomnium rostratum T.Koponen, 1968",Mnium rostratum,,
Plantago afra L.,,,
Plantago lagopus L.,,,
Plantago lanceolata L.,,,
Plantago subulata L.,Plantago holosteum Scop.,,
Plantago subulata L.,Plantago subulata L. subsp. radicata (Hoffmanns. & Link) O. Bolòs & Vigo,,
Platanthera bifolia (L.) Rich.,,,
"Pleurozium schreberi Mitten, 1869",Hypnum schreheri,,
"Pleurozium schreberi Mitten, 1869",Pleurozium schreberi,,
Poa angustifolia L.,,,
Poa bulbosa L.,,,
Poa nemoralis L.,Poa nemoralis L. subsp. nemoralis,,
Poa pratensis L.,,,
Poa sp.,,,
Poa trivialis L.,,,
Poa trivialis subsp. trivialis,Poa trivialis L. subsp. trivialis,,
Polycarpon tetraphyllum (L.) L.,,,
Polygala microphylla L.,,,
Polygala monspeliaca L.,,,
Polygala serpyllifolia Hosé,Polygala serpyllifolia Hose,,
Polygala vulgaris L.,,,
Polygonatum odoratum (Mill.) Druce,,,
Polypodium cambricum L.,Polypodium cambricum L. subsp. cambricum,,
Polypodium interjectum Shivas,,,
Polypodium sp.,,,
Polypodium vulgare L.,,,
Polypodium vulgare L.,Polypodium gr. vulgare L.,,
Polystichum aculeatum (L.) Roth,,,
Polystichum setiferum (Forssk.) T.Moore ex Woyn.,Polystichum setiferum (Forssk.) Woyn.,,
Polytrichum formosum Hedw.,Polytrichum attenuatum,Polytrichum formosum,
Polytrichum formosum Hedw.,,,
"Polytrichum juniperinum Hedwig, 1801",Polytrichum juniperinum,,
Populus alba L.,,,
Populus nigra L.,,,
Populus tremula L.,,,
Potentilla erecta (L.) Raeusch.,,,
Potentilla micrantha Ramond ex DC.,Potentilla micrantha Ramond ex DC. in Lam. & DC.,,
Potentilla montana Brot.,,,
Potentilla reptans L.,,,
Potentilla sterilis (L.) Garcke,,,
Prasium majus L.,,,
Primula elatior (L.) L.,,,
Primula veris L.,,,
Primula veris subsp. columnae (Ten.) Maire & Petitm.,Primula veris L. subsp. columnae (Ten.) Maire & Petitm.,Primula veris L. subsp. veris,
"Primula vulgaris subsp. vulgaris Huds., 1762",Primula acaulis (L.) L.,,
"Primula vulgaris subsp. vulgaris Huds., 1762",Primula acaulis (L.) L. subsp. acaulis,,
Prospero autumnale (L.) Speta,Scilla autumnalis L.,,
Prunella grandiflora (L.) Scholler,,,
Prunella grandiflora (L.) Turra,Prunella grandiflora (L.) Scholler subsp. pyrenaica (Gren. & Godron) A. Bolòs,,
Prunella grandiflora (L.) Turra,Prunella hastaefolia,,
Prunella grandiflora (L.) Turra,Prunella hasteafolia,,
Prunella laciniata (L.) L.,,,
Prunella vulgaris L.,,,
Prunus avium (L.) L.,Prunus avium L.,,
Prunus domestica subsp. insititia (L.) Bonnier & Layens,Prunus insititia L.,,
Prunus dulcis (Mill.) D.A. Webb,,,
Prunus insititioides,Prunus insititoides,,
Prunus lusitanica L.,Prunus lusitanica subsp. lusitanica L.,,
Prunus lusitanica L.,,,
Prunus mahaleb L.,,,
Prunus spinosa L.,,,
Pseudarrhenatherum longifolium (Thore) Rouy,,,
Pseudodictamnus hirsutus (Willd.) Salmaki & Siadati,Ballota hirsuta Benth.,Ballota hirsuta Benth. subsp. hirsuta,
Pseudopodospermum hispanicum subsp. hispanicum,Scorzonera hispanica L.,,
"Pseudoscleropodium purum Fleischer, 1925",Pseudoscleropodium purum,,
"Pseudoscleropodium purum Fleischer, 1925",Scleropodium purum,,
"Pseudoscleropodium purum Fleischer, 1925",{Scleropodium purum,,
"Pseudoscleropodium purum Fleischer, 1925",Scleropodium purum (Hedw.) Limpr.,,
Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum (L.) Kuhn in Kerst.,,
Pterospartum tridentatum (L.) Willk. in Willk. & Lange subsp. cantabricum (Spach) Talavera & Gibbs,,,
Pterospartum tridentatum (L.) Willk. in Willk. & Lange subsp. lasianthum (Spach) Talavera & Gibbs,,,
Pterospartum tridentatum (L.) Willk. in Willk. & Lange subsp. tridentatum,,,
Ptilostemon hispanicus (Lam.) Greuter,,,
Pulicaria arabica subsp. hispanica (Boiss.) Murb.,Pulicaria paludosa Link,,
Pulicaria odora (L.) Rchb.,,,
Pulmonaria longifolia (Bastard) Boreau,Pulmonaria longifolia (Bast.) Boreau,,
Pycnocomon rutifolium (Vahl) Hoffmanns. & Link,Pycnocomom rutifolium,,
Pyrus bourgaeana Decne.,,,
Pyrus bourgaeana Decne.,Pyrus bourgeana,,
Pyrus bourgaeana Decne.,Pyrus communis subsp. marianica,,
Pyrus communis L.,,,
Pyrus cordata Desv.,,,
Quercus ×subandegavensis A.Camus,Quercus Xsubandegavensis,,
Quercus canariensis Willd.,,,
Quercus coccifera L.,,,
Quercus faginea Lam.,,,
Quercus faginea Lam.,Quercus faginea Lam. subsp. alpestris (Boiss.) Maire,,
Quercus faginea Lam.,Quercus faginea Lam. subsp. broteroi (Cout.) A. Camus,,
Quercus faginea Lam.,Quercus faginea Lam. subsp. faginea,,
Quercus faginea Lam.,Quercus gaditana,,
Quercus faginea Lam.,Quercus marianica,,
Quercus ilex L.,,,
Quercus ilex L.,Quercus Xmixta,,
Quercus lusitanica Lam.,,,
"Quercus pauciradiata Penas, Llamas, Pérez Morales & Acedo",,,
Quercus petraea (Matt.) Liebl.,,,
Quercus pseudococcifera Desf.,Quercus coccifera subsp. rivasmartinezii,,
Quercus pseudococcifera Desf.,Quercus pseudococcifera,,
Quercus pyrenaica Willd.,,,
Quercus robur L.,,,
Quercus rotundifolia Lam.,Quercus rotundifofia,,
Quercus suber L.,,,
Quercus tlemcenensis Trab.,Quercus broteroi (Cout.) Rivas-Martínez,,
Quercus x alentejana Vázquez & Pinto-Gomes,Quercus Xneooirei_X_numantina,,
Quercus x alentejana Vázquez & Pinto-Gomes,,,
Quercus x alentejana Vázquez & Pinto-Gomes,Quercus Xwelwitschii Samp.,,
Quercus x tavaresii Samp.,,Quercus Xrobur_X_pyrenaica,
Quercus x tavaresii Samp.,,,
Quercus x tavaresii Samp.,Quercus Xandegavensis subsp. henriquesii,,
Quercus x tavaresii Samp.,Quercus Xhenriques?,,
Quercus x tlemecensis Trab.,Quercus Xjahandiezii A. Camus,,
Quercus x welwitschii Samp.,,Quercus Xandegavensi subsp. subandegavens,
Quercus Xauzandrii Gren. & Godr.,,,
Quercus Xcoutinhoi Samp.,"Quercus ×beturica (F.M.Vázquez, Coombes, Rodr.-Coombes, S.Ramos & Doncel) F.M.Vázquez, Vila-Viçosa, Meireles & Pinto Gomes",Quercus Xbeturica,
Quercus Xfontqueri O. Schwarz,,,
Quercus × trabutii Hy,,Quercus Xpyrenaica_X_petraea,
Rabelera holostea (L.) M.T.Sharples & E.A.Tripp,Stellaria holoatea,,
Rabelera holostea (L.) M.T.Sharples & E.A.Tripp,Stellaria holostea L.,,
Radiola linoides Roth,Radiola linoides (Hill) Roth,,
"Ranunculus acris subsp. acris L., 1753",Ranunculus acris L. subsp. acris,,
Ranunculus acris subsp. friesianus (Jord.) Syme,Ranunculus acris L. subsp. despectus M. Laínz,,
Ranunculus bulbosus L.,,,
Ranunculus bulbosus subsp. bulbosus,Ranunculus bulbosus L. subsp. bulbosus,,
Ranunculus bullatus L.,,,
Ranunculus bullatus L.,Ranunculus bulatus,,
Ranunculus ficaria L.,,,
Ranunculus gramineus L.,,,
Ranunculus gregarius Brot.,Ranunculus gregarias,,
Ranunculus neapolitanus Ten.,Ranunculus bulbosus L. subsp. aleae (Willk.) Rouy & Fouc.,,
Ranunculus nigrescens Freyn,,,
Ranunculus ollissiponensis Pers.,,,
Ranunculus ollissiponensis subsp. ollissiponensis,Ranunculus ollissiponensis Pers. subsp. ollissiponensis,,
Ranunculus omiophyllus Ten.,,,
Ranunculus paludosus Poir.,,,
Ranunculus platanifolius L.,,"Ranunculus paludosus Poir. subsp. gregarius (Brot.) Z. Díaz, comb. nova",
Ranunculus polyanthemos subsp. nemorosus (DC.) Schübl. & G.Martens,Ranunculus tuberosus Lapeyr.,,
Ranunculus repens L.,,,
Ranunculus trilobus Desf.,,,
Reseda media Lag.,,,
Retama sphaerocarpa (L.) Boiss.,,,
Rhagadiolus edulis Gaertn.,,,
Rhagadiolus stellatus (L.) Gaertn.,,,
Rhamnus alaternus L.,Rhamnus alaternus L. subsp. alaternus,,
Rhamnus cathartica L.,,,
Rhamnus fontquerianus,,,
Rhamnus lycioides L.,,,
Rhamnus lycioides subsp. laderoi Rivas Mart. & J.M.Pizarro,Rhamnus laderoi,,
Rhamnus lycioides subsp. lycioides,Rhamnus lycioides L. subsp. lycioides,,
Rhamnus oleoides,Rhamnus lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire,Rhamnus gr. lycioides L. subsp. oleoides (L.) Maire in Jahand. & Maire,
Rhaponticoides africana (Lam.) M.V.Agab. & Greuter,,,
Rhaponticoides fraylensis (Sch. Bip. ex Nyman) M.V. Agab. & Greuter,,,
Rhaponticum coniferum (L.) Greuter,,,
Rhododendron ponticum subsp. baeticum (Boiss. & Reut.) Hand.-Mazz.,Rhododendron ponticum L. subsp. baeticum (Boiss. & Reut.) Hand.-Mazz.,,
Rhus coriaria L.,,,
"Rhytidiadelphus triquetrus Warnstorf, 1906",Hypnum triquetrum,,
"Rhytidiadelphus triquetrus Warnstorf, 1906",Rhytidiadelphus triquetrus,,
Ribes alpinum L.,,,
Ribes petraeum Wulfen,,,
Robinia pseudoacacia L.,,,
Romulea bulbocodium (L.) Sebast. & Mauri,,,
Rosa agrestis Savi,,,
Rosa arvensis Huds.,,,
Rosa caesia Sm.,Rosa coriifolia Fr.,,
Rosa canina L.,,,
Rosa canina var. andegavensis (Bastard) N.H.F.Desp.,Rosa andegavensis Bastard,,
Rosa canina var. biserrata (Mérat) Chevall.,Rosa squarrosa (A. Rau) Boreau,,
Rosa canina var. blondaeana (Déségl.) Crép.,Rosa blondaeana Ripart ex Déségl.,,
Rosa corymbifera Borkh.,,,
Rosa corymbifera var. deseglisei (Boreau) Emb. & Maire,Rosa deseglisei Boreau,,
Rosa micrantha Borrer ex Sm.,Rosa gr. micrantha Borrer ex Sm. in Sowerby,,
Rosa micrantha Borrer ex Sm.,Rosa micrantha Borrer ex Sm. in Sowerby,,
Rosa micrantha subsp. micrantha,Rosa micrantha subsp. nemorosa,,
Rosa pouzinii Tratt.,,,
Rosa rubiginosa L.,,,
Rosa sempervirens L.,,,
Rosa sp.,,,
Rosa spinosissima L.,Rosa pimpinellifolia L.,Rosa pimpinellifolia L. subsp. pimpinellifolia,
Rubia agostinhoi Dans. & P.Silva,Rubia peregrina L. subsp. agostinhoi (Dans. & Silva) Valdés-Bermejo & López,,
Rubia peregrina L.,,,
Rubus castellarnaui Pau,,,
Rubus hirtus Waldst. & Kit.,,,
Rubus idaeus L.,,,
Rubus lusitanicus R.P.Murray,,,
Rubus plicatus Weihe & Nees,,,
Rubus praecox Bertol.,,,
Rubus rubus,,Rubus gr. rubus,
Rubus sp.,,,
Rubus ulmifolius Schott,,,
Rubus ulmifolius Schott,Rubus gr. ulmifolius Schott,,
"Rubus vigoi R. Roselló, Peris & Stübing",,,
Rumex acetosa L.,Rumex acetosa L. subsp. acetosa,,
Rumex acetosa subsp. biformis (Lange) Castrov. & Valdés Berm.,Rumex acetosa L. subsp. biformis (Lange) Castrov. & Valdés Berm.,,
Rumex acetosella L.,,,
Rumex acetosella subsp. angiocarpus (Murb.) Murb.,Rumex acetosella L. subsp. angiocarpus (Murb.) Murb.,,
Rumex arifolius All.,,,
Rumex bucephalophorus L.,Rumex bucephalophurus,,
Rumex bucephalophorus subsp. gallicus (Steinh.) Rech.fil.,Rumex bucephalophorus L. subsp. gallicus (Steinh.) Rchb. fil.,,
Rumex conglomeratus Murray,,,
Rumex induratus Boiss. & Reut.,Rumex scutatus L. subsp. induratus (Boiss. & Reut.) Nyman,,
Rumex intermedius DC.,Rumex intermedius DC. in Lam. & DC.,,
Rumex papillaris Boiss. & Reut.,Rumex papilaris,,
Ruscus aculeatus L.,,,
Ruta angustifolia Pers.,,,
Ruta chalepensis L.,,,
Ruta montana (L.) L.,,,
Salix alba L.,,,
Salix atrocinerea Brot.,,,
Salix eleagnos Scop.,,,
Salix fragilis L.,Salix Xrubens Schrank,,
Salvia rosmarinus Spenn.,Rosmarinus officinalis L.,,
Salvia sclareoides Brot.,,,
Salvia verbenaca L.,,,
Sambucus nigra L.,,,
Sambucus nigra L.,Sambucus nigra L. subsp. nigra,,
Sanguisorba hybrida (L.) Font Quer,,,
Sanguisorba minor Scop.,,,
Sanguisorba minor Scop. subsp. balearica (Bourg. ex Nyman) Muñoz Garm. & C. Navarro,,,
Sanguisorba rupicola (Boiss. & Reut.) A. Braun & C. D. Bouché,,,
Sanguisorba sp.,,,
Sanguisorba verrucosa (Link ex G. Don) Ces.,,,
Sanicula europaea L.,,,
Santolina chamaecyparissus L.,,,
Santolina semidentata Hoffmanns. & Link.,,,
Saponaria ocymoides L.,,,
Saponaria officinalis L.,,,
Sarothamnus sp.,,,
Satureja sp.,,,
Saxifraga fragosoi Sennen,,,
Saxifraga granulata L.,,,
Saxifraga spathularis Brot.,,,
Scabiosa columbaria L.,Scabiosa columbaria L. subsp. columbaria,,
Scandix australis subsp. microcarpa (Lange) Thell.,Scandix australis L. subsp. microcarpa (Lange) Thell. in Hegi,,
"Schedonorus arundinaceus subsp. arundinaceus (Schreb.) Dumort., 1824",Festuca arundinacea Schreb. subsp. arundinacea,,
Scilla monophyllos Link,,,
Scilla peruviana L.,,,
Scilla verna Huds.,,,
Scirpoides holoschoenus (L.) Soják,,,
"Scleropodium touretii L.F.Koch, 1949",Scleropodium illecebrum,,
Scolymus hispanicus L.,Scolymus hispanicus L. subsp. occidentalis F.M. Vázquez,,
Scolymus maculatus L.,,,
"Scorpiurium circinatum Fleischer & Loeske, 1907",Eurhynchium circinatum,,
Scorpiurus vermiculatus L.,,,
Scorzonera angustifolia L.,,,
Scrophularia alpestris Gay ex Benth.,Scrophularia alpestris J. Gay ex Benth.,,
Scrophularia auriculata L.,,,
"Scrophularia canina subsp. canina L., 1753",Scrophularia canina L. subsp. canina,,
Scrophularia herminii Hoffmanns. & Link,,,
Scrophularia scorodonia L.,Scrophularia scoradonia,,
Scutellaria minor Huds.,,,
Sedum album L.,,,
Sedum arenarium Brot.,,,
Sedum brevifolium DC.,,,
Sedum dasyphyllum L.,,,
Sedum hirsutum All.,,,
Selaginella denticulata (L.) Spring,,,
Selaginella denticulata (L.) Spring,Selaginella denticulate,,
Selinum broteri Hoffmanns. & Link,,,
Senecio doronicum (L.) L.,,,
Senecio gallicus Chaix,Senecio gallicus Chaix in Vill.,,
Senecio lividus L.,,,
Senecio lopezii Boiss.,,,
Senecio sylvaticus L.,,,
Serapias lingua L.,,,
Serratula sp.,,,
Serratula tinctoria L.,,,
Serratula tinctoria var. seoanei (Willk.) Samp.,Serratula tinctoria L. subsp. seoanei (Willk.) Lange,,
Sesamoides interrupta (Boreau) G. López,,,
Seseli cantabricum Lange,,,
Sherardia arvensis L.,,,
Sibthorpia europaea L.,,,
Sideritis hirsuta L.,,,
Sideritis hirsuta L.,Sideritis hirsuta var. hirtula,,
Sideritis lasiantha Juss. ex Pers.,,,
Silene acutifolia Link ex Rohrb.,,,
Silene aellenii Sennen,,,
Silene coronaria (L.) Clairv.,Lychnis coronaria (L.) Desr.,,
Silene coutinhoi Rothm. & P.Silva,Silene coutinhoi Rothm. & Pinto da Silva,,
Silene dioica (L.) Clairv.,,,
Silene flos-cuculi (L.) Greuter & Burdet,Lychnis flos-cuculi L.,,
Silene gallica L.,,,
Silene gracilis DC.,,,
Silene italica (L.) Pers.,,,
Silene latifolia Poir.,,,
Silene longicilia (Brot.) Otth,,,
Silene mellifera Boiss. & Reut.,,,
Silene nutans L.,Silene nutans L. subsp. nutans,,
Silene nutans L.,silene nutans,,
Silene patula Desf.,,,
Silene portensis L.,,,
Silene psammitis Link,Silene psammitis Link ex Spreng.,,
Silene rubella subsp. segetalis (Dufour) Nyman,Silene rubella L. subsp. segetalis (L.M. Dufour) Nyman,,
Silene scabriflora Brot.,,,
Silene scabriflora Brot.,Silene gr. scabriflora Brot.,,
Silene uniflora Roth,,,
Silene vulgaris (Moench) Garcke,,,
Silene vulgaris subsp. vulgaris,Silene vulgaris (Moench) Garcke subsp. vulgaris,,
Simethis mattiazzii (Vand.) Sacc.,Simethis matiazzi,,
Simethis mattiazzii (Vand.) Sacc.,Simethis mattiazzii (Vand.) G. López & Ch.E. Jarvis,,
Smilax aspera L.,,,
Smyrnium olusatrum L.,,,
Smyrnium perfoliatum L.,,,
Solanum dulcamara L.,,,
Solidago virgaurea L.,,,
Sonchus asper (L.) Hill,,,
Sonchus asper subsp. asper,Sonchus asper (L.) Hill subsp. asper,,
Sonchus glaucescens Jord.,Sonchus asper (L.) Hill subsp. glaucescens (Jord.) Ball,,
Sonchus tenerrimus L.,,,
Sorbus aucuparia L.,,,
Spergula morisonii Boreau,,,
Spergularia purpurea (Pers.) G. Don,,,
Stachys germanica L.,,,
Stachys sylvatica L.,,,
Staehelina dubia L.,,,
Stauracanthus boivinii (Webb) Samp.,Nepa boivinii (Webb) Webb,,
Stauracanthus genistoides (Brot.) Samp.,,,
Stellaria alsine Grimm.,,,
Stellaria graminea L.,,,
Stellaria media (L.) Vill.,,,
Stipa lagascae Roem. & Schult.,,,
Struthiopteris spicant (L.) Weiss,Blechnum spicant subsp. spicant (L.) Roth,,
Succisa pratensis Moench,,,
Symphytum tuberosum L.,,,
Taeniatherum caput-medusae (L.) Nevski,,,
Tanacetum corymbosum (L.) Sch. Bip.,,,
Taraxacum nordstedtii Dahlst.,,,
Taraxacum sp.,,,
Taxus baccata L.,,,
Teesdalia coronopifolia (Bergeret ex Steud.) Thell.,Teesdalia coronopifolia (J. P. Bergeret) Thell.,,
Teesdalia nudicaulis (L.) R.Br.,Teesdalia nudicaulis (L.) R. Br. in W.T. Aiton,,
Teesdalia sp.,,,
Teucrium capitatum L.,,,
Teucrium chamaedrys L.,,,
Teucrium eriocephalum subsp. almeriense (C.E.Hubb. & Sandwith) T.Navarro & Rosua,Teucrium eriocephalum Willk. subsp. almeriense (C.E. Hubb. & Sandwith) T. Navarro & Rosúa,,
Teucrium fruticans L.,,,
Teucrium haenseleri Boiss.,,,
Teucrium hieronymi Sennen,,,
Teucrium lusitanicum Schreb.,,,
Teucrium pseudochamaepitys L.,,,
Teucrium pseudoscorodonia Desf.,Teucrium pseudo-scorodonia Desf.,,
Teucrium pyrenaicum L.,,,
Teucrium salviastrum Schreb.,,,
Teucrium scorodonia L.,,,
Teucrium scorodonia L. subsp. scorodonia,,,
Thalictrum minus L.,,,
Thalictrum speciosissimum L.,Thalictrum speciosissimum L. in Loefl.,,
"Thapsia eliasii (Sennen & Pau) Wojew., Banasiak, Reduron & Spalik",Laserpitium eliasii Sennen & Pau,,
"Thapsia eliasii (Sennen & Pau) Wojew., Banasiak, Reduron & Spalik",Laserpitium eliasii Sennen & Pau subsp. thalictrifolium (Samp.) P. Monts.,,
"Thapsia eliasii (Sennen & Pau) Wojew., Banasiak, Reduron & Spalik",Laserpitium nestleri subsp. thalictrifoll,,
Thapsia foetida L.,Elaeoselinum foetidum (L.) Boiss.,,
Thapsia gummifera (Desf.) Spreng.,Margotia gummifera (Desf.) Lange in Willk. & Lange,,
"Thapsia nestleri (Soy.-Will.) Wojew., Banasiak, Reduron & Spalik",Laserpitium nestleri Soy.-Will.,,
Thapsia nitida Lacaita,,,
Thapsia transtagana Brot.,,,
Thapsia villosa L.,,,
Thesium humifusum DC.,Thesium humifusum DC. in Lam. & DC.,,
Thesium pyrenaicum Pourr.,,,
Thrincia hispida (Roth) Roth,Leontodon longirostris (Finch & P.D. Sell) Talavera in Valdés & al.,Leontodon taraxacoides (Vill.) Mérat subsp. hispidus (Roth) Kerguélen,
Thrincia saxatilis (Lam.) Holub & Moravec,Leontodon taraxacoides (Vill.) Mérat,,
Thrincia tuberosa (L.) DC.,Leontodon tuberosus L.,,
Thuidium tamariscinum,,Thrincia rothii,
Thuydium sp.,,,
Thymbra capitata (L.) Cav.,,,
Thymelaea ruizii Loscos ex Casav.,Thymelaea ruizii Loscos,,
Thymelaea villosa (L.) Endl.,,,
Thymelaea villosa (L.) Endl.,Thymelea villosa,,
Thymus baeticus Boiss. ex Lacaita,,,
Thymus capitellatus Hoffmanns. & Link,,,
Thymus hyemalis Lange subsp. hyemalis,,,
Thymus hyemalis Lange,Thymus hyemalis Lange subsp. hyemalis,,
