Taxonomia atual,1,2,3
Calendula suffruticosa subsp. lusitanica (Boiss.) Ohle,Calendula suffruticosa Vahl subsp. lusitanica (Boiss.) Ohle,,
Calendula suffruticosa subsp. tomentosa (Desf. ex Ball) Murb.,Calendula suffruticosa Vahl subsp. tomentosa Murb.,,
Calepina irregularis (Asso) Thell.,,,
Calicotome villosa (Poir.) Link,,,
Calluna vulgaris (L.) Hull,,,
Calystegia sepium (L.) R. Br.,,,
Campanula alata Desf.,,,
Campanula erinus L.,,,
Campanula glomerata L.,,,
Campanula lusitanica Loefl.,Campanula lusitanica L. in Loefl. subsp. lusitanica,,
Campanula rapunculus L.,,,
Camptothecium lutescens (Hedw.) Schimp.,,,
Canna indica L.,,,
Capparis spinosa L.,,,
Capsella bursa-pastoris (L.) Medik.,,,
Cardamine flexuosa With.,,,
Cardamine hirsuta L.,,,
Cardamine raphanifolia Pourr.,Cardamine raphanipholia,,
Carduncellus caeruleus (L.) C. Presl,,,
Carduus broteri (Welw. ex Mariz) Cout.,Carduus broteri Welw. ex Cout.,,
Carduus carpetanus Boiss. & Reut.,,,
Carduus platypus Lange,,,
Carduus tenuiflorus Curtis,,,
Carex caryophyllea Latourr.,,,
Carex caudata (Kük.) Pereda & Laínz,Carex caudata (Kük.) Pereda & M. Laínz,,
Carex depauperata Curtis ex With.,,,
Carex depressa Link,Carex depressa subsp. depressa,,
Carex distachya Desf.,Carex dystachia,,
Carex distachya var. distachya,,Carea longiseta,
Carex distans L.,,,
Carex divisa Huds.,Carex divulsa Stokes in With.,,
Carex flacca Schreb.,,,
Carex halleriana Asso,,,
Carex humilis Leyss.,,,
Carex laevigata Sm.,,,
Carex leersii F.W.Schultz,Carex divulsa Stokes in With. subsp. leersii (Kneuck.) W. Koch,,
Carex leporina L.,,,
Carex muricata L.,,,
Carex oedipostyla Duval-Jouve,,,
Carex otrubae Podp.,,,
Carex pairae F.W.Schultz,Carex muricata subsp. pairaei (F.W.Schultz) Asch. & Graebn.,,
Carex paniculata subsp. lusitanica (Willd.) Maire,Carex paniculata L. subsp. lusitanica (Schkuhr) Maire,,
Carex pendula Huds.,,,
Carex pilulifera L.,,,
Carex pilulifera L.,Carex pilulifera subsp. pilulifera L.,,
Carex remota L.,,,
Carex reuteriana Boiss.,Carex elata subsp. reuteriana (Boiss.) Luceño & Aedo,,
Carex reuteriana Boiss.,Carex elata subsp. reuteriana (Boiss.) Luceño & Aedo,,
Carex riparia Curtis,,,
Carex sp.,,,
Carex spicata Huds.,,,
Carex sylvatica Huds.,,,
Carlina corymbosa L.,Carlina corymbosa subsp. corymbosa,,
Carlina hispanica Lam.,Carlina corymbosa subsp. hispanica (Lam.) O.Bolòs & Vigo,,
Carlina racemosa L.,,,
Carlina vulgaris L.,,,
Caroxylon genistoides Pau,Salsola genistoides Juss. ex Poir. in Lam.,,
Castanea sativa Mill.,,,
Celtica gigantea (Link) F.M.Vázquez & Barkworth,,,
Centaurea africana Lam.,,,
Centaurea alba subsp. latronum (Pau) Dostál,,,
Centaurea aristata Hoffmanns. & Link,Centaurea paniculata subsp. castellana (Boiss. & Reut.) Dostál,,
Centaurea aspera subsp. stenophylla (Dufour) Nyman,Centaurea aspera L. subsp. stenophylla (L.M. Dufour) Nyman,,
Centaurea cordubensis Font Quer,,,
Centaurea francoi Figueiredo & Gideon F.Sm.,Centaurea crocata Franco,,
Centaurea langei Nyman,Centaurea langei subsp. langei,Centaurea langei Nyman subsp. langei,
"Centaurea langei subsp. rothmaleriana (Arènes) E.López, Devesa & Arnelas","Centaurea langei Nyman subsp. rothmaleriana (Arènes) E. López, Devesa",,
Centaurea melanosticta Lange,Centaurea melanosticta,,
Centaurea melitensis L.,,,
Centaurea montana L.,Centaurea graminifolia Pourr.,,
Centaurea nigra L.,,,
Centaurea nigra subsp. carpetana (Boiss. & Reut.) Nyman,Centaurea nigra L. subsp. carpetana (Boiss. & Reut.) Nyman,,
Centaurea nigra subsp. rivularis (Brot.) Cout.,Centaurea nigra L. subsp. rivularis (Brot.) Cout.,,
Centaurea paniculata L.,,,
Centaurea paniculata subsp. castellana (Boiss. & Reut.) Dostál,Centaurea paniculata L. subsp. castellana (Boiss. & Reut.) Dostál,,
Centaurea pullata L.,,,
Centaurium erythraea Raf.,Centaurium erythraea subsp. erythraea,,
Centaurium grandiflorum subsp. majus (Hoffmanns. & Link) Z.Díaz,Centaurium erythraea subsp. majus (Hoffmanns. & Link) M.Laínz,,
Centaurium pulchellum (Sw.) Druce,,,
Centranthus calcitrapae (L.) Dufr.,Centranthus calritrapa,Centranthus calcitrapae (L.) Dufr. subsp. calcitrapae,
Cephalanthera longifolia (L.) Fritsch,Cephalantera longifolia,,
Cephalanthera rubra (L.) Rich.,,,
Cephalaria leucantha (L.) Schrad. ex Roem. & Schult.,Cephalaria leucantha (L.) Roem. & Schult.,,
Cerastium brachypetalum Desf. ex Pers.,Cerastium brachypetalum N.H.F. Desp. ex Pers.,,
Cerastium fontanum Baumg.,,,
Cerastium glomeratum Thuill.,Cerastium fontanum Baumg. subsp. triviale (Link) Jalas,,
Cerastium sp.,,,
Ceratocapnos claviculata (L.) Lidén,,,
Ceratonia siliqua L.,,,
Chaerophyllum hirsutum L.,,,
Chaetonychia cymosa (L.) Sw.,Chaetonychia cymosa (L.) Sweet,,
Chamaerops humilis L.,,,
Cheirolophus sempervirens (L.) Pomel,,,
Chrysojasminum fruticans (L.) Banfi,Jasminum fruticans L.,,
Chrysosplenium oppositifolium L.,,,
Circaea lutetiana L.,Circaea lutetiana L. subsp. lutetiana,,
Cirsium arvense (L.) Scop.,,,
Cirsium filipendulum Lange,,,
Cirsium palustre (L.) Scop.,,,
Cirsium pannonicum (L. fil.) Link,,,
Cirsium vulgare (Savi) Ten.,,,
Cistus ×hybridus Pourr.,Cistus ×hybridus,,
Cistus ×incanus L.,Cistus X_pulverulentus,,
Cistus albidus L.,,,
Cistus clusii Dunal,Cistus clusii Dunal in DC.,,
Cistus creticus L.,,,
Cistus crispus L.,,,
Cistus inflatus Pourr. ex Demoly,Cistus psilosepalus Sweet,,
Cistus ladanifer L.,,,
Cistus ladanifer subsp. ladanifer,Cistus ladanifer L. subsp. ladanifer,,
Cistus laurifolius L.,,,
Cistus libanotis L.,,,
Cistus monspeliensis L.,,,
Cistus populifolius L.,Cistus populifolius L. subsp. populifolius,,
Cistus populifolius L.,Cistus gr. populifolius L.,,
Cistus salviifolius L.,,,
Cistus × aguilari O.E.Warb.,Cistus Xpopulifolius_X_ladanifer,Cistus Xpopulifolius_X_ladanifer,
Cladanthus mixtus (L.) Chevall.,,,
Cladonia chlorophaea (Flörke ex Sommerf.) Spreng.,Cladonia chlorophaea,,
Cladonia mediterranea P.A.Duvign. & Abbayes,Cladonia mediterranica,,
Cladonia portentosa (Dufour) Coem.,Cladonia potentosa,,
Cladonia pyxidata (L.) Hoffm.,,,
Cladonia rangiferina (L.) Weber ex F.H.Wigg.,,,
Cladonia sp.,,,
Clematis cirrhosa L.,,,
Clematis flammula L.,,,
Clematis vitalba L.,,,
Clematis viticella subsp. campaniflora (Brot.) Kuntze,Clematis campaniflora Brot.,,
Cleonia lusitanica (L.) L.,,,
Clinopodium alpinum (L.) Kuntze,Acinos alpinus (L.) Moench,,
Clinopodium nepeta (L.) Kuntze,Calamintha nepeta (L.) Savi,,
Clinopodium nepeta subsp. nepeta (L.) Kuntze,Calamintha nepeta subsp. nepeta (L.) Savi,,
Clinopodium vulgare L.,Clinopodium gr. vulgare L.,,
Clinopodium vulgare L.,Clinopodium vulgare L. subsp. arundanum (Boiss.) Nyman,,
Clinopodium vulgare L.,,,
Clinopodium vulgare subsp. arundanum (Boiss.) Nyman,Clinopodium arundanun,,
Clinopodium vulgare subsp. arundanum (Boiss.) Nyman,Satureja arundana,,
Coincya monensis (L.) Greuter & Burdet,,,
"Coincya monensis subsp. cheiranthos (Vill.) C.Aedo Pérez, Leadlay & Muñoz Garm.","Coincya monensis (L.) Greuter & Burdet subsp. cheiranthos (Vill.) Aedo, Leadlay & Muñoz Garm.",,
"Coincya monensis subsp. orophila (Franco) C.Aedo Pérez, Leadlay & Muñoz Garm."," Coincya orophila (Franco) Rivas Mart., Fern.Gonz. & Sánchez Mata",,
Colchicum lusitanum Brot.,,,
Coleostephus myconis (L.) Rchb. fil.,,,
Colutea arborescens subsp. hispanica (Talavera & Arista) Mateo & M.B.Crespo,Colutea hispanica Talavera & Arista,,
Conopodium arvense (Coss.) Calest.,,,
Conopodium majus subsp. marizianum (Samp.) López Udias & Mateo,,,
Conopodium majus (Gouan) Loret,Conopodium majus (Gouan) Loret in Loret & Barrandon,,
Conopodium majus subsp. marizianum (Samp.) López Udias & Mateo,Conopodium majus (Gouan) Loret in Loret & Barrandon subsp. marizianum (Samp.) López Udias & Mateo,,
Conopodium marianum Lange,,Conopodium marianicum,
Conopodium pyrenaeum (Loisel.) Miégev.,,,
Conopodium sp.,,,
Conopodium subcarneum (Boiss. & Reut.) Boiss. & Reut. in Boiss.,,,
Convolvulus althaeoides L.,,,
Corema album (L.) D. Don,,,
"Coristospermum lucidum subsp. lucidum (Mill.) Reduron, Charpin & Pimenov, 1997",Ligusticum lucidum Mill.,Ligusticum lucidum Mill. subsp. lucidum,
Cormus domestica (L.) Spach,Sorbus domestica L.,,
Cornus sanguinea L.,Cornus sanguinea subsp. sanguinea,Cornus sanguinea L. subsp. sanguinea,
Coronilla dura (Cav.) Boiss.,Coronilla repanda (Poir.) Guss. subsp. dura (Cav.) Cout.,,
Coronilla juncea L.,,,
Coronilla minima L.,,,
Coronilla valentina subsp. glauca (L.) Batt.,,Coronilla valentina L. subsp. glauca (L.) Batt. in Batt. & Trab.,
Corylus avellana L.,,,
Cosentinia vellea (Aiton) Tod.,,,
"Cota triumfetti (L.) J.Gay ex Guss., 1844",Cota triumfetti (L.) J.Gay,,
Crataegus monogyna Jacq.,Crataegus monogina subsp. brevispina,,
Crepis capillaris (L.) Wallr.,Crepis capilaris,,
Crepis lampsanoides (Gouan) Tausch,,,
Crepis vesicaria L.,,,
Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell.,Crepis vesicaria L. subsp. haenseleri (Boiss. ex DC.) P.D. Sell,,
Crithmum maritimum L.,,,
Crocus carpetanus Boiss. & Reut.,,,
Crocus nudiflorus Sm.,,,
Crucianella angustifolia L.,,,
Cruciata glabra (L.) Opiz,Cruciata glabra (L.) Ehrend.,,
Cruciata glabra subsp. hirticaulis (Beck) Natali & Jeanm.,Cruciata glabra subsp. hirticaulis,,
Cruciata laevipes Opiz,,,
"Cuscuta epithymum subsp. epithymum (L.) L., 1774",Cuscuta epithymum (L.) L. subsp. kotschyi (Desmoulins) Arcangeli,,
Cynara algarbiensis Coss. ex Mariz,,,
Cynara humilis L.,,,
Cynodon dactylon (L.) Pers.,,,
Cynoglossum creticum Mill.,,,
Cynosurus cristatus L.,,,
Cynosurus echinatus L.,Cynosorum echinatus,,
Cynosurus elegans Desf.,Cynosurus effusus Schrad.,,
Cystopteris diaphana (Bory) Blasdell,Cystopteris viridula (Desv.) Desv.,,
Cystopteris fragilis (L.) Bernh.,Cystopteris fragilis (L.) Bernh. in Schrad.,,
Cytinus hypocistis (L.) L.,,,
Cytinus hypocistis subsp. macranthus Wettst.,Cytinus hypocistis subsp. macracanthus,Cytinus hypocistis (L.) L. subsp. macranthus Wettst.,
Cytisus arboreus (Desf.) DC.,,,
Cytisus grandiflorus DC.,Cytisus grandiflorus (Brot.) DC.,,
Cytisus grandiflorus subsp. grandiflorus,,Cytisus grandiflorus (Brot.) DC. subsp. grandiflorus,
Cytisus multiflorus (L'Hér.) Sweet,,,
Cytisus scoparius (L.) Link,,,
Cytisus scoparius subsp. scoparius,,Cytisus scoparius (L.) Link subsp. scoparius,
Cytisus sp.,,,
